annee,delegation,nombre_zones_irrigues,superficie_zone_irrigues_ha,superficie_zones_prives_irrigues_ha,feuille
2022,قبلي الجنوبية,28,2433,7454.0,Feuil1
2022,قبلي الشمالية,25,1685,2269.0,Feuil1
2022,سوق الأحد,24,2130,4815.0,Feuil1
2022,دوز الشمالية,6,477,2246.0,Feuil1
2022,دوز الجنوبية,11,990,6154.0,Feuil1
2022,الفوار,11,796,3179.0,Feuil1
2022,رجيم معتوق,33,2451,,Feuil1
2022,كامل الولاية,138,10962,26117.0,Feuil1
2023,قبلي الجنوبية,28,2357,7536.0,Feuil1
2023,قبلي الشمالية,25,1685,2186.0,Feuil1
2023,سوق الأحد,24,2013,5000.0,Feuil1
2023,دوز الشمالية,6,477,1691.0,Feuil1
2023,دوز الجنوبية,11,1104,6414.0,Feuil1
2023,الفوار,11,1012,3233.0,Feuil1
2023,رجيم معتوق,33,2346,,Feuil1
2023,كامل الولاية,138,10997,26060.0,Feuil1
