annee,delegation,bovin,ovin,caprin,camelides,apicultures_ruche,poules_pondeuses,poulet_chair,lapin,lapin_reproducteurs,feuille
2022.0,قبلي الجنوبية,82.0,40137.0,26948.0,1000.0,175,,,,,Feuil1
2022.0,قبلي الشمالية,7.0,26889.0,17165.0,1400.0,,,,,,Feuil1
2022.0,دوز الشمالية,17.0,71213.0,48236.0,3000.0,505,,,,,Feuil1
2022.0,دوز الجنوبية,64.0,55751.0,37928.0,4200.0,,,,,,Feuil1
2022.0,سوق الأحد,134.0,42895.0,27646.0,200.0,200,,,,,Feuil1
2022.0,الفوار,10.0,61935.0,41100.0,1200.0,115,,,,,Feuil1
2022.0,رجيم معتوق,0.0,14859.0,10096.0,2000.0,,,,,,Feuil1
2022.0,المجموع,314.0,313678.0,209119.0,13000.0,995,,,,100 تربية  تقليدية  و 275 تربية عصرية,Feuil1
2023.0,قبلي الجنوبية,130.0,32000.0,22000.0,1000.0,170,,,,,Feuil1
2023.0,قبلي الشمالية,6.0,21000.0,13000.0,1400.0,,,,,,Feuil1
2023.0,دوز الشمالية,76.0,49000.0,30000.0,200.0,194,,,,,Feuil1
2023.0,دوز الجنوبية,23.0,62000.0,42000.0,3000.0,492,,,,,Feuil1
2023.0,سوق الأحد,73.0,39000.0,27000.0,4200.0,,,,,,Feuil1
2023.0,الفوار,36.0,56000.0,38000.0,1200.0,112,,,,,Feuil1
2023.0,رجيم معتوق,6.0,13000.0,8000.0,2000.0,,,,,,Feuil1
2023.0,المجموع,350.0,272000.0,180000.0,13000.0,970,,,,100 تربية تقليدية و 275 تربية عصرية,Feuil1
,,,,,,,,,,,Feuil1
2023.0,,,,,,,,,,,Feuil1
