annee,delegation,olivier_ha,palmier_ha,grenadier_ha,vigne_ha,figuier_ha,amandier_ha,autres_ha,feuille
2022.0,قبلي الجنوبية,240.0,9887.0,100.0,25.0,80.0,,70.0,Feuil1
2022.0,قبلي الشمالية,68.0,3954.0,85.0,6.0,70.0,,45.0,Feuil1
2022.0,سوق الأحد,109.0,6945.0,70.0,17.0,50.0,,40.0,Feuil1
2022.0,دوز الشمالية,32.0,2723.0,35.0,12.0,30.0,,20.0,Feuil1
2022.0,دوز الجنوبية,71.0,7144.0,40.0,25.0,40.0,,35.0,Feuil1
2022.0,الفوار,23.0,3975.0,15.0,4.0,18.0,,10.0,Feuil1
2022.0,رجيم معتوق,10.0,2451.0,5.0,1.0,2.0,,5.0,Feuil1
2022.0,المجموع,553.0,37079.0,350.0,90.0,290.0,,225.0,Feuil1
2023.0,قبلي الجنوبية,220.0,10020.0,100.0,25.0,80.0,,70.0,Feuil1
2023.0,قبلي الشمالية,67.0,3820.0,85.0,6.0,70.0,,45.0,Feuil1
2023.0,سوق الأحد,99.0,7400.0,70.0,17.0,50.0,,40.0,Feuil1
2023.0,دوز الشمالية,32.0,2500.0,35.0,12.0,30.0,,20.0,Feuil1
2023.0,دوز الجنوبية,51.0,7610.0,40.0,25.0,40.0,,35.0,Feuil1
2023.0,الفوار,21.0,4180.0,15.0,4.0,18.0,,10.0,Feuil1
2023.0,رجيم معتوق,10.0,2470.0,5.0,1.0,2.0,,5.0,Feuil1
2023.0,المجموع,500.0,38000.0,350.0,90.0,290.0,,225.0,Feuil1
,,,,,,,,,Feuil1
2023.0,,,,,,,,,Feuil1
