annee,delegation,œufs_mille_unite,miel_tonne,laine_tonne,peaux_unite,poil_chamaux_kg,feuille
2022-2023,قبلي الجنوبية,,1,25.0,15894.0,0.2,Feuil1
2022-2023,قبلي الشمالية,,0,16.7,10648.0,0.2,Feuil1
2022-2023,سوق الأحد,,1.1,26.7,16986.0,0.0,Feuil1
2022-2023,دوز الشمالية,,2.9,44.3,28200.0,0.6,Feuil1
2022-2023,دوز الجنوبية,,,34.7,22077.0,0.7,Feuil1
2022-2023,الفوار,,0.7,38.5,24526.0,0.4,Feuil1
2022-2023,رجيم معتوق,,0,9.2,5884.0,0.4,Feuil1
2022-2023,الجملة,,5.7,195.0,124215.0,2.5,Feuil1
2023-2024,قبلي الجنوبية,,,19.9,,200.0,Feuil1
2023-2024,قبلي الشمالية,,,13.0,,300.0,Feuil1
2023-2024,قبلي,,0.9,32.9,20988.0,500.0,Feuil1
2023-2024,سوق الأحد,,1,30.4,22176.0,,Feuil1
2023-2024,دوز الشمالية,,,38.5,,600.0,Feuil1
2023-2024,دوز الجنوبية,,,24.2,,800.0,Feuil1
2023-2024,دوز,,2.5,26.7,39996.0,1400.0,Feuil1
2023-2024,الفوار,,0.6,34.8,22176.0,400.0,Feuil1
2023-2024,رجيم معتوق,,,8.1,5148.0,400.0,Feuil1
2023-2024,الجملة,,4.9,169.0,107712.0,2700.0,Feuil1
