campagne,activite,production_q,productivite_q_ha,superficie_ha,feuille
2021-2022,البطاطا,200,20,10,Feuil1
2021-2022,الطماطم الفصلية,30450,70,435,Feuil1
2021-2022,الطماطم الفصلية المتأخرة,4250,50,85,Feuil1
2021-2022,الفلفل,12750,30,425,Feuil1
2021-2022,الدلاع,3000,30,100,Feuil1
2021-2022,البطيخ,1500,25,60,Feuil1
2021-2022,الفقوس,875,25,35,Feuil1
2021-2022,القرع,1650,30,55,Feuil1
2021-2022,البصل الصيفي,1625,25,65,Feuil1
2021-2022,المعدنوس,2400,30,80,Feuil1
2021-2022,سلق,1650,30,55,Feuil1
2021-2022,الكلافس,500,20,25,Feuil1
2021-2022,السبناخ,1250,25,50,Feuil1
2021-2022,السلاطة,1500,30,50,Feuil1
2021-2022,السفنارية,5000,40,125,Feuil1
2021-2022,أنواع اخرى,600,20,30,Feuil1
