annee,delegation,nom_du_groupement,zone_intervention,local_tel,activite,date_creation,nbre_adherants,derniere_session_generale,remarques,feuille
2023,نبر,"مجمع ""الصيادين""",ملاق,95910168.0,صيد وترويج الاسماك,2004-11-22 00:00:00,12.0,2023-02-28 00:00:00,ناشط,Feuil1
2023,قلعة سنان,"مجمع ""الحياة""",كافة العمادات,22584240.0,تربية السمان ومنتوجات محلية,2015-11-30 00:00:00,50.0,2024-03-05 00:00:00,-مجمع نسائي ناشط,Feuil1
2023,القصور,"مجمع ""صراورتان""",عين القصيبة,92692365.0,انتاج البطاطا خامس فصلية,2017-02-01 00:00:00,73.0,2021-04-29 00:00:00,ناشط,Feuil1
2023,نبر,"مجمع ""بهرة""",بهرة,98531078.0,ماء الشرب+زيتون بيولوجي,2006-11-14 00:00:00,260.0,2023-04-04 00:00:00,ناشط,Feuil1
2023,نبر,"مجمع ""الرقي""",المحاسن,98682355.0,خدمات فلاحية,2008-08-27 00:00:00,60.0,2022-02-10 00:00:00,ناشط,Feuil1
2023,الكاف الشرقية,"3 ""الاتحاد والتنمية""",الزعفران,56336521.0,تربية النحل,2017-12-05 00:00:00,19.0,2019-03-14 00:00:00,مجمع غير نشاط,Feuil1
2023,السرس,"مجمع ""فلاحات السرس""",المرجى,27102166.0,تحويل الحليب,2015-08-10 00:00:00,58.0,2023-03-15 00:00:00,مجمع نسائي ناشط,Feuil1
2023,القلعة الخصبة,"مجمع ""نسائم الخير""",كافة العمادات,93633682.0,تجفيف الطماطم ومنتوجات محلية,2018-03-30 00:00:00,25.0,2021-06-16 00:00:00,-مجمع نسائي ناشط,Feuil1
2023,نبر,"مجمع ""الانطلاق""",نبر,96482160.0,تربية الماشية الصغرى,2018-09-06 00:00:00,20.0,2018-10-11 00:00:00,مجمع نسائيذو نشاط محدود,Feuil1
2023,الساقية,"مجمع ""حراير الساقية""",سيدي رابح-عين الكرمة,21676178.0,منتوجات محلية,2018-07-12 00:00:00,46.0,2018-08-17 00:00:00,مجمع نسائيغير ناشط -,Feuil1
2023,قلعة سنان,"مجمع ""الوفاق""",الحميمة,97930933.0,تربية النحل,2018-10-11 00:00:00,39.0,2018-10-25 00:00:00,نشاط محدود,Feuil1
2023,الساقية,"مجمع ""الامل""",جرادو-عين مازر,97410296.0,حماية الغابات,2015-09-11 00:00:00,150.0,2020-07-21 00:00:00,ناشط,Feuil1
2023,نبر,"مجمع ""الطموح""",ملاق,98655606.0,حماية الغابات,2016-01-13 00:00:00,140.0,2022-11-29 00:00:00,ناشط,Feuil1
2023,الكاف الشرقية,"مجمع ""كبوش""",كبوش,,متوقف,2006-06-21 00:00:00,32.0,,متوقف,Feuil1
2023,تاجرون,"مجمع ""الامل""",برج الديوانة- قرن الحلفاية-منزل سالم,26308617.0,مشروع المشاهد,2017-10-03 00:00:00,195.0,2021-09-02 00:00:00,ناشط,Feuil1
2023,الساقية,"مجمع""المستقبل""",سيدي رابح-عين الكرمة-الطابية,98285317.0,مشروع المشاهد,2017-09-29 00:00:00,265.0,2021-06-10 00:00:00,ناشط,Feuil1
2023,قلعة سنان,"مجمع ""الفالتة""",الفالتة,96726984.0,منتوجات محلية,2019-02-28 00:00:00,54.0,2019-02-28 00:00:00,غير نشاط,Feuil1
2023,القصور,"مجمع ""الامل""",القصور-عين فضيل,58290305.0,منتوجات محلية,2019-02-20 00:00:00,29.0,2019-04-16 00:00:00,غير نشاط,Feuil1
2023,القصور,"مجمع ""الريحان""",الزيتونة-اللواتة,25818747.0,منتوجات محلية,2019-03-13 00:00:00,40.0,2019-04-17 00:00:00,غير نشاط,Feuil1
2023,قلعة سنان,"مجمع ""يوغرطة""",كافة  العمادات,90551476.0,منتوجات محلية,2019-07-12 00:00:00,23.0,2019-08-15 00:00:00,غير نشاط,Feuil1
2023,الطويرف,"مجمع ""الصعصاع""",ولجة السدرة,40370463.0,ماء شرب و حماية الغابات,2006-11-14 00:00:00,105.0,2022-01-25 00:00:00,ناشط,Feuil1
2023,تاجروين,"مجمع ""عين ببوش""",جزة,98682456.0,تقطير النباتات العطرية,2016-07-04 00:00:00,20.0,2021-08-26 00:00:00,-مجمع نسائي ناشط,Feuil1
2023,الساقية,"مجمع ""تكرونة""",تكرونة,95637322.0,تقطير النباتات العطرية,2006-12-14 00:00:00,70.0,,مجمع نسائي,Feuil1
2023,الطويرف,"مجمع ""البرج """,الطويرف,,منتوجات محلية,2019-08-29 00:00:00,41.0,2022-06-30 00:00:00,-مجمع نسائي ناشط,Feuil1
