annee,delegation,stock_bois_m3,production_bois_m3,stock_pepinieres_forestieres_million_demis,production_pepinieres_forestieres_million_demis,stock_huile_romarin_t,production_huile_romarin_t,stock_pin_alep_t,production_pin_alep_t,stock_chasse_sauvage_t,production_chasse_sauvage_t,stock_production_forrages_million_unite,stock_production_forrages_million_unite_1,feuille
2023,الكاف الشرقية,,2000,,,1,3,0.2,0.1,3.0,4.0,1.5,1.5,Feuil1
2023,الكاف الغربية,,500,,0.2,3,5,0.3,0.1,4.0,5.0,4.0,1.5,Feuil1
2023,نبر,,250,,,0,0,0.0,0.0,0.0,0.0,0.0,0.3,Feuil1
2023,السرس,,100,,,4,10,4.0,2.0,3.0,6.0,3.0,3.0,Feuil1
2023,الدهماني,,1500,,0.030,0,2,0.2,0.1,3.0,5.0,3.0,1.7,Feuil1
2023,القصور,,1200,,,0,0,0.4,0.3,3.0,5.0,1.7,1.7,Feuil1
2023,تاجروين,,0,,,0,0,0.0,0.0,0.0,0.0,2.0,2.0,Feuil1
2023,قلعة سنان,,5500,,,2,10,4.0,3.0,4.0,0.0,0.0,0.0,Feuil1
2023,القلعة الخصبة,,0,,0.05,0,0,0.0,0.0,1.0,1.0,1.5,1.5,Feuil1
2023,ساقية سيدي يوسف,,9000,0.174,0.3,0,0,2.0,2.0,2.0,0.0,0.5,0.5,Feuil1
2023,الطويرف,,12000,,,0,0,2.75,2.0,4.0,1.0,3.5,3.0,Feuil1
2023,الجريصة,,1890,,,0,0,0.8,1.0,1.0,2.0,5.0,3.0,Feuil1
2023,كامـل الولايـة,,33940,0.174,0.580,10,30,14.65,10.6,28.0,29.0,25.7,19.7,Feuil1
2024,-الكاف الشرقية,,0,,,0,3,0.2,5.0,2.0,2.5,1.5,1.5,Feuil1
2024,-الكاف الغربية,,0,,0.2,0,0,0.3,6.0,2.0,2.5,4.0,1.5,Feuil1
2024,-الدهمانـي,,0,,,0,0,0.0,0.0,0.5,0.25,0.0,0.3,Feuil1
2024,-تاجرويـن,,0,,,0,4,0.0,10.0,2.0,1.75,3.0,3.0,Feuil1
2024,-السـرس,,0,,0.030,0,1,0.0,5.0,2.0,1.75,3.0,1.7,Feuil1
2024,-القصـور,,0,,,0,0,0.0,0.0,2.0,1.75,1.7,1.7,Feuil1
2024,-الجريصـة,,0,,,0,0,0.0,0.0,0.5,1.25,2.0,2.0,Feuil1
2024,-قلعة سنان,,0,,,0,2,0.0,4.0,2.5,2.25,0.0,0.0,Feuil1
2024,-القلعة الخصبة,,0,,0.05,0,0,0.0,0.0,1.0,0.5,1.5,1.5,Feuil1
2024,-نبــر,,106,0.100,0.3,0,0,0.0,10.0,1.5,1.0,0.5,0.5,Feuil1
2024,-الساقيـة,,800,,,0,2,0.0,5.0,2.5,0.5,3.5,3.0,Feuil1
2024,الطويرف,,0,,,0,0,0.0,0.0,1.5,1.0,5.0,3.0,Feuil1
2024,كامـل الولايـة,,906,0.100,0.580,0,12,0.5,45.0,20.0,17.0,25.7,19.7,Feuil1
