annee,delegation,nombre,superficie_ha,type_location,investissement_approuve_mille_dinars,investissement_realise_mille_dinars,nbre_emplois,remarques,feuille
2023,الكاف الشرقية,5,585.0,كراء,1012,1331,0.0,مقاسم مستغلة بصفة جيدة,Feuil1
2023,الكاف الغربية,1,194.0,كراء,95,14,0.0,مقاسم في حالة متواضعة (نتيجة تعاقب سنوات الجفاف),Feuil1
2023,الدهمانـي,1,82.6,كراء,104.7,108,0.0,مقسم ذو نشاط محدود نتيجة ضعف منسوب الماء,Feuil1
2023,تاجرويـن,5,542.3,كراء,162,13,0.0,مقاسم ذو إستغلال ضعيف نتيجة تعاقب سنوات الجفاف الإستغلال ضعيف,Feuil1
2023,السـرس,1,100.0,كراء,66,61,0.0,مقسم ذو نشاط متواضع,Feuil1
2023,القصور,0,0.0,,,0,0.0,,Feuil1
2023,قلعة سنان,0,0.0,,,0,0.0,,Feuil1
2023,القلعة الخصبـاء,0,0.0,,,0,0.0,,Feuil1
2023,نبــر,0,0.0,,,0,0.0,,Feuil1
2023,الطويرف,0,0.0,,,0,0.0,,Feuil1
2023,الساقية,0,0.0,,,0,0.0,,Feuil1
2023,كامل الولاية,13,1503.9,,1439.7,1527,0.0,,Feuil1
2024,-الكاف الشرقية,5,585.0,كراء,1222,1325,,مقاسم مستغلة بصفة جيدة,Feuil1
2024,-الكاف الغربية,1,194.0,كراء,78,14,,مقاسم في حالة متواضعة (نتيجة تعاقب سنوات الجفاف),Feuil1
2024,-الدهمانـي,1,82.6,كراء,98,163,,مقسم ذو نشاط محدود نتيجة ضعف منسوب الماء,Feuil1
2024,-تاجرويـن,5,542.3,كراء,258,18,,مقاسم ذو إستغلال ضعيف نتيجة تعاقب سنوات الجفاف الإستغلال ضعيف,Feuil1
2024,-السـرس,1,100.0,كراء,66,13,,مقسم ذو نشاط متواضع,Feuil1
2024,- القصور,0,0.0,,,0,,,Feuil1
2024,-قلعة سنان,0,0.0,,,0,,,Feuil1
2024,-القلعة الخصبـاء,0,0.0,,,0,,,Feuil1
2024,-نبــر,0,0.0,,,0,,,Feuil1
2024,- الطويرف,0,0.0,,,0,,,Feuil1
2024,الساقية,0,0.0,,,0,,,Feuil1
2024,كامل الولاية,13,1503.9,,1722,1533,,,Feuil1
