annee,delegation,nbe_puits_de_surface_equipe,nbe_puits_de_surface_non_equipe,total_puits_surface,nbe_puits_profonds_equipe,nbe_puits_profonds_non_equipe,total_puits_profonds,nbe_puits_profonds_50m,nbe_puits_profonds_50m_1,nbre_grands_barrages,capacite_grands_barrages_mm3,nbre_barrages_collinaires,capacite_barrages_collinaires_mm3,nbre_lacs_collinaires,capacite_lacs_collinaires,feuille
2023,الكاف الشرقية,362,11,373,40,8,48,29,19,0,0,2,6.9,8,0.35,Feuil1
2023,الكاف الغربية,173,22,195,58,0,58,32,26,0,0,0,0.0,3,0.13,Feuil1
2023,الدهماني,841,116,957,159,3,162,117,45,0,0,5,4.3,9,0.235,Feuil1
2023,تاجروين,413,88,501,64,7,71,56,15,1,21,1,1.1,15,0.655,Feuil1
2023,السرس,964,52,1016,110,0,110,87,23,0,0,4,1.9,6,0.24,Feuil1
2023,القصور,471,22,493,116,2,118,95,23,0,0,4,5.55,5,0.19,Feuil1
2023,6الجريصة,76,7,83,9,2,11,6,5,0,0,1,0.5,4,0.335,Feuil1
2023,40قلعة سنان,280,108,388,41,12,53,40,13,0,0,2,0.9,2,0.3,Feuil1
2023,71القلعة 26الخصباء,354,52,406,76,18,94,71,23,0,0,0,0.0,2,0.165,Feuil1
2023,12نبـر + الطويرف,238,41,279,36,0,36,26,10,1,60,3,2.45,14,0.34,Feuil1
2023,ساقية سيدي يوسف,16,9,25,3,10,13,12,1,0,0,3,0.7,13,1.06,Feuil1
2024,الكاف الشرقية,362,11,373,47,10,57,32,25,0,0,2,6.6,8,0.14,Feuil1
2024,الكاف الغربية,173,22,195,66,1,67,32,35,0,0,0,0.0,3,0.06,Feuil1
2024,الدهماني,841,116,957,180,21,201,119,82,0,0,5,3.5,9,0.125,Feuil1
2024,تاجروين,413,88,501,81,10,91,65,26,1,21,1,1.1,15,0.53,Feuil1
2024,السرس,964,52,1016,117,5,122,90,32,0,0,4,1.55,6,0.185,Feuil1
2024,القصور,471,22,493,129,3,132,98,34,0,0,4,5.55,5,0.17,Feuil1
2024,6الجريصة,76,7,83,13,3,16,7,9,0,0,1,0.5,4,0.295,Feuil1
2024,40قلعة سنان,280,108,388,43,14,57,42,15,0,0,2,0.9,2,0.0,Feuil1
2024,القلعة  الخصباء,354,52,406,82,21,103,75,28,0,0,0,0.0,2,0.145,Feuil1
2024,نبـر الطويرف,238,41,279,37,1,38,26,12,1,60,3,2.45,14,0.24,Feuil1
2024,ساقية سيدي يوسف,16,9,25,6,8,14,12,2,0,0,3,0.7,13,0.915,Feuil1
2024,كامل الولاية,4188,528,4716,801,97,898,598,300,2,81,25,22.8,81,2.805,Feuil1
