annee,delegation,terres_labourees,paturages,parcours_forets,terres_non_labourables,nombre_cellules_vulgarisations_agricoles,feuille
2023,الكاف الشرقية,29566,785,6302,3007,3,Feuil1
2023,الكاف الغربية,14140,1080,5430,1890,1,Feuil1
2023,الدهماني,48850,1250,100,2800,4,Feuil1
2023,تاجروين,46302,2400,12655,5500,6,Feuil1
2023,السرس,36408,1700,1892,3500,4,Feuil1
2023,القصور,34100,1800,8300,1445,4,Feuil1
2023,الجريصة,15061,1100,100,1200,3,Feuil1
2023,قلعة سنان,38668,6300,5138,1500,5,Feuil1
2023,القلعة الخصباء,18596,560,1404,1200,2,Feuil1
2023,نبر,25877,1424,21428,1358,4,Feuil1
2023,الطويرف,14778,1108,6825,142,1,Feuil1
2023,ساقية سيدي يوسف,35191,4000,32640,1300,4,Feuil1
2023,كامل الولاية,357537,23507,102214,24842,41,Feuil1
2024,-الكاف الشرقية,29566,785,6302,3007,3,Feuil1
2024,-الكاف الغربية,14140,1080,5430,1890,1,Feuil1
2024,-الدهمانـي,48850,1250,100,2800,4,Feuil1
2024,-تاجرويـن,46302,2400,12655,5500,6,Feuil1
2024,-السـرس,36408,1700,1892,3500,4,Feuil1
2024,-القصــور,34100,1800,8300,1445,4,Feuil1
2024,-الجريصـة,15061,1100,100,1200,3,Feuil1
2024,-قلعة سنـان,38668,6300,5138,1500,5,Feuil1
2024,-القلعة الخصباء,18596,560,1404,1200,2,Feuil1
2024,-نبـــر,25877,1424,21428,1358,4,Feuil1
2024,الطويرف,14778,1108,6825,142,1,Feuil1
2024,-ساقية سيدي يوسف,35191,4000,32640,1300,4,Feuil1
2024,كامل الولايـة,357537,23507,102214,24842,41,Feuil1
