annee,delegation_fr,delegation_ar,nbre_de_huileries,capacite_transformation_t_24h,capacite_stockage_t,feuille
2023,Mahdia,المهدية,27.0,1280.0,2280.0,Feuil1
2023,REJICHE *,الرجيش *,,,,Feuil1
2023,Bou Merdes,بومرداس,15.0,750.0,1644.0,Feuil1
2023,Ouled Chamekh,أولاد الشامخ,12.0,400.0,1250.0,Feuil1
2023,Chorbane,شربان,19.0,1800.0,1070.0,Feuil1
2023,Hbira,هبيرة,8.0,460.0,620.0,Feuil1
2023,Essouassi,السواسي,22.0,1995.0,10945.0,Feuil1
2023,El Jem,الجم,24.0,1340.0,2690.0,Feuil1
2023,Chebba,الشابة,19.0,886.0,5882.0,Feuil1
2023,Melloulech,ملولش,11.0,678.0,1240.0,Feuil1
2023,Sidi Alouane,سيدي علوان,33.0,1300.0,1960.0,Feuil1
2023,Ksour Essaf,قصور الساف,30.0,1700.0,2300.0,Feuil1
2023,EL BERADAA *,البرادعة *,,,,Feuil1
2024,Mahdia,المهدية,27.0,1277.0,2280.0,Feuil1
2024,REJICHE *,الرجيش *,,,,Feuil1
2024,Bou Merdes,بومرداس,13.0,855.0,1644.0,Feuil1
2024,Ouled Chamekh,أولاد الشامخ,12.0,400.0,1250.0,Feuil1
2024,Chorbane,شربان,19.0,1800.0,1070.0,Feuil1
2024,Hbira,هبيرة,8.0,460.0,620.0,Feuil1
2024,Essouassi,السواسي,22.0,1940.0,10945.0,Feuil1
2024,El Jem,الجم,24.0,1340.0,2690.0,Feuil1
2024,Chebba,الشابة,19.0,886.0,5882.0,Feuil1
2024,Melloulech,ملولش,12.0,718.0,1240.0,Feuil1
2024,Sidi Alouane,سيدي علوان,33.0,1300.0,1960.0,Feuil1
2024,Ksour Essaf,قصور الساف,30.0,1700.0,2300.0,Feuil1
2024,EL BERADAA *,البرادعة *,,,,Feuil1
