campagne,المعتمدية,غابة_مطرية_فتية,غابة_مطرية_منتجة,غابة_مطرية_هرمة,المجموع,غابة_مروية_فتية,غابة_مروية_منتجة,غابة_مروية_هرمة,المجموع_1,feuille
2019-2020,المهدية,530.0,4750,6050,11330,47,33.0,,80,Feuil1
2019-2020,قصور الساف,790.0,9320,930,11040,12,18.0,,30,Feuil1
2019-2020,الشابة,260.0,6340,2550,9150,28,22.0,,50,Feuil1
2019-2020,ملولش,210.0,11710,250,12170,5,155.0,,160,Feuil1
2019-2020,سيدي علوان,1530.0,12020,1590,15140,56,204.0,,260,Feuil1
2019-2020,الجم,2200.0,14080,2160,18440,85,145.0,,230,Feuil1
2019-2020,بومرداس,1240.0,7440,2190,10870,10,10.0,,20,Feuil1
2019-2020,السواسي,1990.0,17190,980,20160,75,15.0,,90,Feuil1
2019-2020,شربان,1500.0,23260,320,25080,20,,,20,Feuil1
2019-2020,أولاد الشامخ,400.0,12010,100,12510,31,519.0,,550,Feuil1
2019-2020,هبيرة,1700.0,8270,820,10790,327,423.0,,750,Feuil1
2019-2020,المجموع,12350.0,126390,17940,156680,696,1544.0,0.0,2240,Feuil1
2020-2021,المهدية,530.0,4750,6050,11330,47,33.0,,80,Feuil1
2020-2021,قصور الساف,790.0,9350,930,11070,12,18.0,,30,Feuil1
2020-2021,الشابة,260.0,6350,2550,9160,28,22.0,,50,Feuil1
2020-2021,ملولش,210.0,11600,250,12060,5,155.0,,160,Feuil1
2020-2021,سيدي علوان,1550.0,12220,1510,15280,56,204.0,,260,Feuil1
2020-2021,الجم,2240.0,14300,2190,18730,85,145.0,,230,Feuil1
2020-2021,بومرداس,1260.0,7500,2210,10970,10,10.0,,20,Feuil1
2020-2021,السواسي,2010.0,17420,990,20420,75,15.0,,90,Feuil1
2020-2021,شربان,1519.7604790419166,23540,320,25380,20,,,20,Feuil1
2020-2021,أولاد الشامخ,400.0,12080,100,12580,30,520.0,,550,Feuil1
2020-2021,هبيرة,1700.0,8240,820,10760,327,423.0,,750,Feuil1
2020-2021,المجموع,12470.0,127350,17920,157740,695,1545.0,0.0,2240,Feuil1
2021-2022,المهدية,530.0,4760,6060,11350,35,25.0,,60,Feuil1
2021-2022,قصور الساف,790.0,9370,930,11090,10,15.0,,25,Feuil1
2021-2022,الشابة,260.0,6360,2560,9180,25,20.0,,45,Feuil1
2021-2022,ملولش,210.0,11600,250,12060,5,150.0,,155,Feuil1
2021-2022,سيدي علوان,1550.0,12250,1620,15420,55,200.0,,255,Feuil1
2021-2022,الجم,2240.0,14310,2190,18740,85,145.0,,230,Feuil1
2021-2022,بومرداس,1250.0,7510,2210,10970,5,5.0,,10,Feuil1
2021-2022,السواسي,2030.0,17610,1000,20640,50,10.0,,60,Feuil1
2021-2022,شربان,1520.0,23550,320,25390,10,,,10,Feuil1
2021-2022,أولاد الشامخ,400.0,12100,100,12600,30,510.0,,540,Feuil1
2021-2022,هبيرة,1700.0,8240,820,10760,310,400.0,,710,Feuil1
2021-2022,المجموع,12480.0,127660,18060,158200,620,1480.0,0.0,2100,Feuil1
