المعتمدية,المعدل_المرجعي_مم,2015_2016,2016_2017,2017_2018,2018_2019,2019_2020,2020_2021,2021_2022,feuille
المهدية,385.9,227.7,645.5,214.6,556.6,311.1,408.8,184.9,Feuil1
قصور الساف,313.2,187.6,534.6,157.5,580.9,277.1,459.0,210.7,Feuil1
الشابة,306.5,154.8,390.7,273.7,323.0,320.5,523.0,222.5,Feuil1
ملولش,265.4,144.0,511.5,205.0,374.0,292.5,374.5,216.5,Feuil1
بومرداس,306.1,271.5,535.0,227.0,385.0,313.5,545.0,150.5,Feuil1
الجم,289.5,210.6,511.3,295.0,401.0,304.0,382.7,214.0,Feuil1
شربان,253.2,198.0,250.5,302.0,255.0,330.0,223.5,137.5,Feuil1
السواسي,245.2,262.9,395.5,342.5,338.5,254.1,420.5,132.5,Feuil1
أولاد الشامخ,272.2,226.5,308.0,369.0,387.0,183.0,236.5,102.0,Feuil1
هبيرة,257.3,157.0,241.0,213.5,223.5,261.5,206.0,191.0,Feuil1
سيدي علوان,301.3,205.5,533.5,184.0,495.3,402.2,483.1,235.1,Feuil1
المعدل (مم),290.5272727272727,204.1909090909091,441.55454545454546,253.0727272727273,392.70909090909095,295.4090909090909,387.50909090909096,181.56363636363633,Feuil1
