المعتمدية,المساحات_المبذورة_من_القمح_الصلب,المساحات_المحصودة_من_القمح_الصلب,مردود_القمح_الصلب,انتاج_القمح_الصلب,المساحات_المبذورة_من_القمح_اللين,المساحات_المحصودة_من_القمح_اللين,مردود_القمح_اللين,انتاج_القمح_اللين,المساحات_المبذورة_من_الشعير,المساحات_المحصودة_من_الشعير,مردود_الشعير,انتاج_الشعير,feuille
المهدية,200.0,150.0,6.0,900.0,,,,,850.0,650.0,6.0,3900.0,Feuil1
قصور الساف,500.0,400.0,5.0,200.0,,,,,2600.0,2000.0,5.0,10000.0,Feuil1
الشابة,300.0,100.0,5.0,500.0,,,,,1000.0,700.0,6.0,4200.0,Feuil1
سيدي علوان,1500.0,1100.0,6.0,6600.0,100.0,100.0,6.0,600.0,2400.0,1050.0,8.0,8400.0,Feuil1
الجم,400.0,350.0,7.0,1400.0,,,,,150.0,100.0,6.0,600.0,Feuil1
بومرداس,700.0,500.0,4.0,2000.0,,,,,1000.0,700.0,6.0,4200.0,Feuil1
السواسي,600.0,300.0,8.0,2400.0,,,,,400.0,300.0,7.0,2100.0,Feuil1
شربان,600.0,500.0,4.0,2000.0,,,,,300.0,200.0,6.0,1200.0,Feuil1
أولاد الشامخ,500.0,350.0,4.0,1400.0,,,,,1000.0,1000.0,6.0,6000.0,Feuil1
هبيرة,1000.0,850.0,4.0,3400.0,100.0,50.0,6.0,300.0,3000.0,1700.0,6.0,10200.0,Feuil1
ملولش,200.0,100.0,5.0,500.0,,,,,300.0,100.0,7.0,700.0,Feuil1
المجموع,6500.0,4700.0,4.5,21300.0,200.0,150.0,6.0,900.0,13000.0,8500.0,6.1,51500.0,Feuil1
,,,,,,,,,,,,,Feuil1
,,,,,,,,,,,,,Feuil1
