المعتمدية,مساحة_الخضروات_الاخر_فصليةهك,انتاج_الخضروات_الاخر_فصلية_طن,مساحة_الخضروات_الشتوية_هك,انتاج_الخضروات_الشتوية_طن,مساحة_الخضروات_تحت_البيوت_الحامية_هك,انتاج_الخضروات_تحت_البيوت_الحامية_طن,مساحة_الخضروات_تحت_الانفاق_الصغيرة_هك,انتاج_الخضروات_تحت_الانفاق_الصغيرة_طن,مساحة_الخضروات_البدرية_الحقلية_هك,انتاج_الخضروات_البدرية_الحقلية_طن,مساحة_الخضروات_الصيفية_المروية_هك,انتاج_الخضروات_الصيفية_المروية_طن,مساحة_الخضروات_الصيفية_البعلية_هك,انتاج_الخضروات_الصيفية_البعلية_طن,feuille
المهدية,132.25,2745,72,1585.0,50.4,3063.0,9,370,55,1142,144,3344,25,251,Feuil1
قصور الساف,17.0,375,80,742.0,10.620000000000001,602.0,14,546,10,270,47,1128,26,255,Feuil1
الشابة,5.0,106,121,2754.0,6.329999999999999,526.77,0,0,1,30,32,819,18,166,Feuil1
ملولش,11.0,358,327,774.0,3.5,196.0,17,688,7,179,43,1013,23,224,Feuil1
سيدي علوان,45.75,1378,234,969.0,7.7,675.0,14,501,9,200,100,2391,18,188,Feuil1
الجم,0.0,0,72,1773.0,0.0,0.0,0,0,0,0,37,1049,15,165,Feuil1
بومرداس,18.0,388,35,1234.0,4.9,374.8,8,300,12,313,50,1138,19,227,Feuil1
السواسي,62.0,1742,121,2910.0,19.36,1541.12,21,827,17,413,149,3225,24,274,Feuil1
شربان,39.0,890,301,12547.0,0.05,3.0,20,785,0,0,63,2109,0,0,Feuil1
هبيرة,40.0,837,75,1138.1,12.03,832.1,29,1103,10,260,147,3248,27,290,Feuil1
اولاد الشامخ,16.0,542,37,1049.0,38.1,4490.0,0,0,2,54,48,1144,5,50,Feuil1
الجملة,386.0,9361,1475,27475.0,153.0,12304.0,132,5120,123,2861,860,20608,200,2090,Feuil1
