annee,delegation,superficie_des_cereales_en_ha,superficie_des_fourrages_en_ha,superficie_des_legumineuses_en_ha,superficie_des_cultures_maraicheres_en_ha,feuille
2016,MANOUBA,153.84615384615384,250.0,60.0,100.0,Feuil2
2016,DOUAR HICHER,76.92307692307692,75.0,0.0,100.0,Feuil2
2016,OUED ELLIL,815.0,866.0,60.0,176.74418604651163,Feuil2
2016,MORNAGUIA,11123.0,1810.0,140.0,223.25581395348837,Feuil2
2016,BORJ EL AMRI,6153.846153846153,1955.0,400.0,488.3720930232558,Feuil2
2016,DJEDAIDA,7077.0,4613.0,400.0,1255.8139534883721,Feuil2
2016,TEBOURBA,9500.0,2866.0,1440.0,269.7674418604651,Feuil2
2016,EL BATTANE,3000.0,1475.0,100.0,1616.2790697674418,Feuil2
2017,MANOUBA,150.1943392971311,283.78864126527674,57.69230769230769,70.56349642660803,Feuil2
2017,DOUAR HICHER,75.09716964856555,85.13659237958304,0.0,70.56349642660803,Feuil2
2017,OUED ELLIL,795.654512426552,983.0438533429187,57.69230769230769,124.71687740516768,Feuil2
2017,MORNAGUIA,10858.97563401293,2054.6297627606036,134.6153846153846,157.53710830126445,Feuil2
2017,BORJ EL AMRI,6007.773571885244,2219.2271746944643,384.61538461538464,344.61242440901594,Feuil2
2017,DJEDAIDA,6909.014704837678,5236.468008626887,384.61538461538464,886.1462341946126,Feuil2
2017,TEBOURBA,9274.500451597845,3253.352983465133,1384.6153846153848,190.35733919736123,Feuil2
2017,EL BATTANE,2928.789616294056,1674.352983465133,96.15384615384616,1140.5030236393623,Feuil2
2018,MANOUBA,150.0,250.0,45.0,50.0,Feuil2
2018,DOUAR HICHER,80.0,75.0,0.0,45.0,Feuil2
2018,OUED ELLIL,789.5258222632664,875.3386053199138,45.0,95.0,Feuil2
2018,MORNAGUIA,10775.332173048237,1829.5183321351544,100.0,120.0,Feuil2
2018,BORJ EL AMRI,5960.0,1975.0,300.0,0.0,Feuil2
2018,DJEDAIDA,6860.0,4660.0,290.0,675.0,Feuil2
2018,TEBOURBA,9200.0,2900.0,1050.0,150.0,Feuil2
2018,EL BATTANE,2900.0,1495.0,70.0,860.0,Feuil2
2019,MANOUBA,153.2071360479368,231.5188172043011,53.28947368421053,54.96151731720726,Feuil2
2019,DOUAR HICHER,81.71047255889964,69.45564516129032,0.0,54.96151731720726,Feuil2
2019,OUED ELLIL,806.4066004323162,810.6294342277158,53.28947368421053,97.1412864211105,Feuil2
2019,MORNAGUIA,11005.718547986078,1694.2716812380665,118.42105263157895,122.70478284771855,Feuil2
2019,BORJ EL AMRI,6087.430205638023,1828.9986559139784,355.2631578947368,268.4167124793843,Feuil2
2019,DJEDAIDA,7006.673021925643,4315.510752688172,343.42105263157896,690.2144035184168,Feuil2
2019,TEBOURBA,9396.704344273458,2685.6182795698924,1243.421052631579,148.26827927432657,Feuil2
2019,EL BATTANE,2962.0046302601118,1384.4825268817203,82.89473684210526,888.331500824629,Feuil2
2020,MANOUBA,150.0,244.99644999999998,44.526315789473685,79.0,Feuil2
2020,DOUAR HICHER,80.0,72.0,0.0,77.0,Feuil2
2020,OUED ELLIL,780.0,858.0,44.526315789473685,140.0,Feuil2
2020,MORNAGUIA,10675.0,1795.0,98.94736842105263,175.0,Feuil2
2020,BORJ EL AMRI,5905.0,1935.0,296.84210526315786,384.0,Feuil2
2020,DJEDAIDA,6795.0,4568.0,286.94736842105266,987.0,Feuil2
2020,TEBOURBA,9114.803213945253,2841.9588200000003,1038.9473684210527,212.0395821880154,Feuil2
2020,EL BATTANE,2875.0,1465.0,69.26315789473684,1271.0,Feuil2
2021,MANOUBA,155.0,212.6384283018868,36.473684210526315,79.54646616541353,Feuil2
2021,DOUAR HICHER,85.0,62.490566037735846,0.0,77.53263157894737,Feuil2
2021,OUED ELLIL,820.0,744.6792452830189,36.473684210526315,140.96842105263158,Feuil2
2021,MORNAGUIA,11050.0,1557.9245283018868,81.05263157894737,176.21052631578948,Feuil2
2021,BORJ EL AMRI,6120.0,1679.433962264151,243.15789473684208,386.6562406015038,Feuil2
2021,DJEDAIDA,7050.0,3964.6792452830186,235.0526315789474,993.8273684210526,Feuil2
2021,TEBOURBA,9450.0,2466.605768301887,851.0526315789474,213.50632215503023,Feuil2
2021,EL BATTANE,3020.0,1271.5094339622642,56.73684210526315,1279.791879699248,Feuil2
2022,MANOUBA,150.0,220.0,28.23157894736842,50.0,Feuil2
2022,DOUAR HICHER,85.0,65.05079825834542,0.0,15.0,Feuil2
2022,OUED ELLIL,800.0,770.0,28.23157894736842,90.0,Feuil2
2022,MORNAGUIA,10870.0,1625.0,62.736842105263165,120.0,Feuil2
2022,BORJ EL AMRI,6010.0,1750.0,188.21052631578945,250.0,Feuil2
2022,DJEDAIDA,6900.0,4130.0,181.93684210526317,614.9863088766692,Feuil2
2022,TEBOURBA,9300.0,2570.0,658.7368421052631,143.0,Feuil2
2022,EL BATTANE,2985.0,1320.0,43.91578947368421,790.0,Feuil2
2023,MANOUBA,123.16172506738545,193.6706827309237,27.37894736842105,32.9232995658466,Feuil2
2023,DOUAR HICHER,69.79164420485175,57.26560232220609,0.0,9.876989869753979,Feuil2
2023,OUED ELLIL,656.8625336927224,677.847389558233,27.37894736842105,59.26193921852388,Feuil2
2023,MORNAGUIA,8925.119676549864,1430.5220883534137,60.8421052631579,79.01591895803183,Feuil2
