annee,delegation,superficie_irrigable_ha,superficie_irriguee_ha,superficie_exploitee_ha,feuille
2014,Manouba,61.66766795113379,45.86872586872587,54.123119893988026,Feuil2
2014,Douar Hicher,31.695205479452053,30.0,31.242937853107346,Feuil2
2014,Oued Ellil,166.02833679151408,125.09652509652508,153.34883969963275,Feuil2
2014,Mornagia,531.2906777328449,375.28957528957534,478.0875590635609,Feuil2
2014,Borj El Amri,1062.5813554656897,817.2972972972973,951.664858135956,Feuil2
2014,Jedaida,1603.3593667294783,1121.6988416988415,1430.1736680304068,Feuil2
2014,Tebourba,1138.4800237132395,758.918918918919,1028.3392779857725,Feuil2
2014,El Batane,1574.8973661366476,1075.830115830116,1434.2626771906828,Feuil2
2015,Manouba,58.669240011856616,47.45040607109573,53.817339555603915,Feuil2
2015,Douar Hicher,30.154109589041095,31.03448275862069,31.06642407992595,Feuil2
2015,Oued Ellil,157.95564618576785,129.4101983757156,152.4824620742111,Feuil2
2015,Mornagia,505.458067794457,388.2305951271469,475.38649940783455,Feuil2
2015,Borj El Amri,1010.916135588914,845.4799627213421,946.2882205193687,Feuil2
2015,Jedaida,1525.400240308272,1160.3781121022498,1422.093590809896,Feuil2
2015,Tebourba,1083.1244309881226,785.0885368126749,1022.5294515564742,Feuil2
2015,El Batane,1498.322129533569,1112.9277060311545,1426.1594982235038,Feuil2
2016,Manouba,54.67133609282038,44.287045666356015,48.83804127866188,Feuil2
2016,Douar Hicher,28.099315068493144,28.96551724137931,28.192090395480225,Feuil2
2016,Oued Ellil,147.19205871143953,120.78285181733455,138.37445028954204,Feuil2
2016,Mornagia,471.01458787660636,362.3485554520038,431.40269796151335,Feuil2
2016,Borj El Amri,942.0291757532127,789.1146318732526,858.7355591498048,Feuil2
2016,Jedaida,1421.4547384133298,1083.0195712954333,1290.5183731413617,Feuil2
2016,Tebourba,1009.3169740212999,732.7493010251632,927.922784294576,Feuil2
2016,El Batane,1396.2218140627974,1038.7325256290776,1294.2080938845402,Feuil2
2017,Manouba,44.67657629522983,36.06230861403275,42.335063252916754,Feuil2
2017,Douar Hicher,22.962328767123285,23.586206896551722,24.438202247191015,Feuil2
2017,Oued Ellil,120.28309002561879,98.35175076554385,119.94934588326417,Feuil2
2017,Mornagia,384.90588808198004,295.05525229663164,373.9597254007647,Feuil2
2017,Borj El Amri,769.8117761639601,642.5647716682199,744.3915288637863,Feuil2
2017,Jedaida,1161.5909836759754,881.8873651977099,1118.6807563443647,Feuil2
2017,Tebourba,824.7983316042433,596.6672879776329,804.3662018054185,Feuil2
2017,El Batane,1140.9710253858696,845.8250565836775,1121.8791762022943,Feuil2
2018,Manouba,55.0,32.5088004260418,53.46,Feuil2
2018,Douar Hicher,30.0,21.262068965517237,29.16,Feuil2
2018,Oued Ellil,150.0,88.66036479829582,145.79999999999998,Feuil2
2018,Mornagia,470.0,265.9810943948875,456.84,Feuil2
2018,Borj El Amri,940.0,579.2477166821994,913.68,Feuil2
2018,Jedaida,1425.0,794.9879376913858,1385.1,Feuil2
2018,Tebourba,1000.0,537.8728797763281,972.0,Feuil2
2018,El Batane,1400.0,762.4791372653443,1360.8,Feuil2
2019,Manouba,55.0,65.06201550387597,53.79341864716636,Feuil2
2019,Douar Hicher,30.0,35.48837209302326,29.341864716636195,Feuil2
2019,Oued Ellil,150.0,177.4418604651163,146.70932358318097,Feuil2
2019,Mornagia,470.0,555.984496124031,459.68921389396706,Feuil2
