annee,delegation,nombre_des_huileries,capacite_de_transformation_tonne_24_heures,capacite_de_stockage_tonne,feuille
2022,MANOUBA,,,,Feuil1
2022,DOUAR HICHER,,,,Feuil1
2022,OUED ELLIL,3.0,150.0,385.0,Feuil1
2022,MORNAGUIA,2.0,119.0,370.0,Feuil1
2022,BORJ EL AMRI,2.0,34.0,45.0,Feuil1
2022,DJEDAIDA,2.0,50.0,408.0,Feuil1
2022,TEBOURBA,4.0,57.0,330.0,Feuil1
2022,EL BATTANE,1.0,40.0,120.0,Feuil1
2022,TOTAL,14.0,450.0,1658.0,Feuil1
2023,MANOUBA,,,,Feuil1
2023,DOUAR HICHER,,,,Feuil1
2023,OUED ELLIL,3.0,150.0,385.0,Feuil1
2023,MORNAGUIA,2.0,119.0,370.0,Feuil1
2023,BORJ EL AMRI,2.0,34.0,45.0,Feuil1
2023,DJEDAIDA,2.0,50.0,408.0,Feuil1
2023,TEBOURBA,4.0,57.0,330.0,Feuil1
2023,EL BATTANE,1.0,40.0,120.0,Feuil1
2023,TOTAL,14.0,450.0,1658.0,Feuil1
2024,MANOUBA,,,,Feuil1
2024,DOUAR HICHER,,,,Feuil1
2024,OUED ELLIL,3.0,150.0,385.0,Feuil1
2024,MORNAGUIA,2.0,119.0,370.0,Feuil1
2024,BORJ EL AMRI,2.0,34.0,45.0,Feuil1
2024,DJEDAIDA,2.0,50.0,408.0,Feuil1
2024,TEBOURBA,4.0,57.0,330.0,Feuil1
2024,EL BATTANE,1.0,40.0,120.0,Feuil1
2024,TOTAL,14.0,450.0,1658.0,Feuil1
