num,مجمامع_مياه_الشرب,اسم_المجمع,المعتمدية,عدد_العايلات,feuille
1,بوحامد,بوحامد,المرناقية,83,مجامع الماء الصالح للشرب
1,سيدي علي الحطاب,سيدي علي الحطاب,المرناقية,165,مجامع الماء الصالح للشرب
3,سيدي عطية المعافرين,سيدي عطية المعافرين,المرناقية,118,مجامع الماء الصالح للشرب
4,عين الكرمة,عين الكرمة,المرناقية,163,مجامع الماء الصالح للشرب
5,الدريجة,الحياة,برج العامري,250,مجامع الماء الصالح للشرب
6,العويلية,العويلية,برج العامري,84,مجامع الماء الصالح للشرب
7,بئر الجديد المهرين 2,بئر الجديد المهرين 2,برج العامري,196,مجامع الماء الصالح للشرب
8,المساعدين,المساعدين,برج العامري,70,مجامع الماء الصالح للشرب
9,العلوين,الفتح,برج العامري,100,مجامع الماء الصالح للشرب
10,النفيض,النفيض,برج العامري,300,مجامع الماء الصالح للشرب
11,بئر الطويل,بئر الطويل,برج العامري,161,مجامع الماء الصالح للشرب
12,فيض العامرين,فيض العامرين,برج العامري,124,مجامع الماء الصالح للشرب
13,سيدي عاشور,سيدي عاشور,برج العامري,60,مجامع الماء الصالح للشرب
14,برج الخلصي الشراقة,المياه العذبة,برج العامري,60,مجامع الماء الصالح للشرب
15,قفاية,العهد الجديد,طبربة,116,مجامع الماء الصالح للشرب
16,"عين الفزانين ""الشفاء""",الشفاء,طبربة,37,مجامع الماء الصالح للشرب
17,بو علي,بوعلي,طبربة,33,مجامع الماء الصالح للشرب
18,البركة (الجنايدية),البركة,طبربة,110,مجامع الماء الصالح للشرب
19,نبع الحياة (الجنايدية),نبع الحياة,طبربة,90,مجامع الماء الصالح للشرب
20,عين الكرمة (الجنايدية),عين الكرمة,طبربة,53,مجامع الماء الصالح للشرب
21,المقطع والناظور والبوابة,جودة الحياة,طبربة,151,مجامع الماء الصالح للشرب
22,الملاحة,الألفة,طبربة,27,مجامع الماء الصالح للشرب
23,المحفورة القوسة,النجاح,البطان,300,مجامع الماء الصالح للشرب
24,الحلفاوي,الحلفاوي,البطان,37,مجامع الماء الصالح للشرب
25,الزويتينة,الزويتينة,البطان,240,مجامع الماء الصالح للشرب
26,الربطة,الربطة,البطان,53,مجامع الماء الصالح للشرب
27,الخريبة,الإنصاف,البطان,83,مجامع الماء الصالح للشرب
28,البعلي,البعلي,البطان,22,مجامع الماء الصالح للشرب
29,الترسات,الترسات,البطان,41,مجامع الماء الصالح للشرب
30,بن غنية,التعاون,البطان,28,مجامع الماء الصالح للشرب
31,منزل سهل,منزل سهل,الجديدة,78,مجامع الماء الصالح للشرب
32,حنة,حنة,الجديدة,66,مجامع الماء الصالح للشرب
33,منزل عمر,منزل عمر,الجديدة,153,مجامع الماء الصالح للشرب
34,الحكايمية,المروج,الجديدة,69,مجامع الماء الصالح للشرب
35,قشبة سيدي سالم,المروى,الجديدة,240,مجامع الماء الصالح للشرب
36,قنطورية,قنطورية,الجديدة,89,مجامع الماء الصالح للشرب
37,حنة والذنيبة,الرحمة,الجديدة,60,مجامع الماء الصالح للشرب
38,الطيايرة,الرحمة,وادي الليل,88,مجامع الماء الصالح للشرب
39,باجة القديمة,الأفق,وادي الليل,175,مجامع الماء الصالح للشرب
40,وادي الشيخ,البدور,وادي الليل,98,مجامع الماء الصالح للشرب
41,دوار الباي اللزقة,الوفاء,وادي الليل,136,مجامع الماء الصالح للشرب
