num,المجمع,اسم_المجمع,المعتمدية,عدد_الفلاحين,المساحة_القابلة_للري,feuille
1,البساتين الإزدهار,الإزدهار,المرناقية,131,950,مجامع مياه الري
2,العلوين المساعدين,المستقبل,برج العامري,178,1000,مجامع مياه الري
3,برج الخاصي,الخير,برج العامري,62,857,مجامع مياه الري
4,فنيي العامرة,فنيي العامرة,برج العامري,6,60,مجامع مياه الري
5,الدريجة,الثمرة,برج العامري,65,170,مجامع مياه الري
6,طبربة الرمل,الياسمين,طبربة,312,1180,مجامع مياه الري
7,الشويقي,المستقبل,طبربة,171,1170,مجامع مياه الري
8,بئر الحكيمي,بئر الحكيمي,طبربة,9,20,مجامع مياه الري
9,"سيدي ناجي """,الريان,البطان,102,707,مجامع مياه الري
10,حدائق المهرين,حدائق المهرين,البطان,155,1045,مجامع مياه الري
11,طنقار,طنقار,البطان,96,815,مجامع مياه الري
12,بئر عوين,بئر عوين,البطان,137,745,مجامع مياه الري
13,"برج التومي ""الوفاق""",الوفاق,البطان,180,1026,مجامع مياه الري
14,العروسية,العروسية,البطان,50,350,مجامع مياه الري
15,البطان,البطان,البطان,80,480,مجامع مياه الري
16,المنصورة الشرقية,"""الأمل",الجديدة,230,668,مجامع مياه الري
17,قشبة حماد,السعادة,الجديدة,32,500,مجامع مياه الري
18,شواط,النرجس,الجديدة,56,500,مجامع مياه الري
19,الحبيبية,التوافق,الجديدة,90,487,مجامع مياه الري
20,الجديدة للري,البركة,الجديدة,80,1719,مجامع مياه الري
21,المنصورة ب,الأفق الجديد,الجديدة,127,487,مجامع مياه الري
22,الحبيبية الشمالية,فلة,الجديدة,25,220,مجامع مياه الري
23,النفيسة,النفيسة,الجديدة,217,731,مجامع مياه الري
