annee,nappe,delegation,profondeur_m,ressources_litre_seconde,salinite_g_litre,quantite_eploitee_litre_seconde,nombre_de_puits,nombre_de_puits_equipes,feuille
2024,حث الترياس بسهل العبابسة,مدنين الشمالية,350-100,150.0,"5,0-0,6",273.72,30,26,Feuil1
2024,حث الترياس بسهل العبابسة,مدنين الجنوبية,,,,,10,10,Feuil1
2024,حث الترياس بسهل العبابسة,بني خداش,,,,,21,16,Feuil1
2024,المائدة الحفرية لحث الترياس  بالجفارة والواعرة,مدنين الجنوبية,1500-400,560.0,15-5,0.5,3,2,Feuil1
2024,المائدة الحفرية لحث الترياس  بالجفارة والواعرة,بنقردان,,,,,5,0,Feuil1
2024,المائدة الحفرية لحث الترياس  بالجفارة والواعرة,بني خداش,,,,,0,0,Feuil1
2024,جيراسك الوسطي,بني خداش,300-250,12.0,2-1,0.0,0,0,Feuil1
2024,جيراسك العلوي,بني خداش,500-200,16.0,"6-1,7",17.04,8,8,Feuil1
2024,القاري الوسطي,بني خداش,300-200,26.0,"4,5-2,8",19.61,12,12,Feuil1
2024,المركب النهائي,بني خداش,500-300,40.0,"4,5-2",7.69,10,10,Feuil1
2024,مركب الزاس كوتين,مدنين الشمالية,500-100,350.0,"4,5-1,56",681.74,14,14,Feuil1
2024,مركب الزاس كوتين,سيدي مخلوف,,,,,24,24,Feuil1
2024,مركب الزاس كوتين,مدنين الجنوبية,,,,,4,4,Feuil1
2024,الثلاثي بالجفارة (جربة جرجيس-جرف),,350-250,700.0,"7,5-5,5",630.48,45,30,Feuil1
2024,ثلاثي رباعي                  بالحزمة و الحميلة,مدنين الجنوبية,150-80,53.0,"13-2,5",19.1,41,36,Feuil1
2024,ثلاثي رباعي بالحمادة,بنقردان,200-100,100.0,8-3,2.6,1,1,Feuil1
2024,ثلاثي رباعي   بالوعرة,بنقردان,200-100,150.0,"5-1,5",4.79,9,9,Feuil1
2024,أوليقوسان ببنقردان,بنقردان,600-500,50.0,20-9,33.23,3,3,Feuil1
2024,السنونيان  ببنقردان,بنقردان,600-200,100.0,10-8,0.0,1,0,Feuil1
2024,الكريسطاني السفلي,بنقردان,700-600,50.0,12,0.0,0,0,Feuil1
2024,المجموع 1,,,2362.0,,1690.5,241,205,Feuil1
