annee,delegation,nappe,profondeur_m,ressources_litre_seconde,salinite_g_l,quantite_exploitee_litre_seconde,nombre_de_puits,nombre_de_puits_equipes,feuille
2024,مدنين الشمالية,أم التمر,25-5,20.0,5-3,16.5,160.0,152.0,Feuil1
2024,مدنين الجنوبية,الصمار مدنين,35-5,44.0,8-3,110.7,815.0,870.0,Feuil1
2024,مدنين الجنوبية,أودية الرمل المعيذرة- الشريعة,25-5,21.0,7-5,6.3,60.0,,Feuil1
2024,سيدي مخلوف,الزاس أم جسار,50-3,25.0,8-2,9.5,131.0,609.0,Feuil1
2024,سيدي مخلوف,الفجاء,30-4,15.0,8-3,21.2,173.0,,Feuil1
2024,سيدي مخلوف,الجرف,22-4,29.0,12-2,42.5,460.0,,Feuil1
2024,سيدي مخلوف,سيدي مخلوف,25-3,16.0,9-4,13.0,128.0,,Feuil1
2024,آجيم,جربة,35-5,110.0,"15-0,5",115.5,2328.0,1022.0,Feuil1
2024,حومة السوق,,,,,,,,Feuil1
2024,ميدون,,,,,,,,Feuil1
2024,جرجيس,جرجيس,50-5,30.0,10-3,23.41,341.0,231.0,Feuil1
2024,بنقردان,بنقردان,36-5,60.0,15-4,81.85,1065.0,921.0,Feuil1
2024,بنقردان,حسي السلطان,14-3,7.0,8-4,2.17,58.0,,Feuil1
2024,بنقردان,وادي المالح,25-3,6.0,10-5,5.6,104.0,,Feuil1
2024,بنقردان,بوحامد,40-5,15.0,8-4,8.85,95.0,,Feuil1
2024,بني خداش,الحلوف,25-3,5.0,"0,5 - 2",1.2,47.0,19.0,Feuil1
2024,كامل الولاية,,_,403.0,_,458.2800000000001,5965.0,3824.0,Feuil1
