annee,port,type_de_flotte,nombre_unites_fonctionnelles,nombre_unites_non_fonctionnelles,main_dœuvre,feuille
2023,جرجيس,مراكب صيد ساحلي مجهزة بمحرك,200,25,600,Feuil1
2023,جرجيس,مراكب صيد ساحلي بدون  بمحرك,650,40,650,Feuil1
2023,جرجيس,مراكب صيد بالشنشول ( شباك دائرة),9,0,160,Feuil1
2023,جرجيس,وحدات صيد بالجر,1,0,15,Feuil1
2023,جرجيس,وحدات صيد السمك الأزرق,19,0,285,Feuil1
2023,جرجيس,وحدات صيد التن,6,0,60,Feuil1
2023,جرجيس,تربية اسماك,0,0,0,Feuil1
2023,جرجيس,الصيد على الأقدام,0,0,0,Feuil1
2023,حومة السوق,مراكب صيد ساحلي مجهزة بمحرك,52,0,400,Feuil1
2023,حومة السوق,مراكب صيد ساحلي بدون  بمحرك,166,0,350,Feuil1
2023,حومة السوق,مراكب صيد السمك الأزرق,3,0,36,Feuil1
2023,آجيــم,مراكب صيد ساحلي مجهزة بمحرك,135,0,600,Feuil1
2023,آجيــم,مراكب صيد ساحلي بدون  بمحرك,420,0,420,Feuil1
2023,آجيــم,الصيد على الأقدام,0,0,0,Feuil1
2023,حاسي جلابة,مراكب صيد ساحلي مجهزة بمحرك,30,3,60,Feuil1
2023,حاسي جلابة,مراكب صيد ساحلي بدون  بمحرك,60,5,60,Feuil1
2023,بوغرارة,مراكب صيد ساحلي مجهزة بمحرك,72,3,220,Feuil1
2023,بوغرارة,مراكب صيد ساحلي بدون  بمحرك,60,7,90,Feuil1
2023,بوغرارة,تربية اسماك,0,0,0,Feuil1
2023,القرين,مراكب صيد ساحلي مجهزة بمحرك,25,5,50,Feuil1
2023,القرين,مراكب صيد ساحلي بدون  بمحرك,40,10,40,Feuil1
2023,القرين,الصيد على الأقدام,0,0,0,Feuil1
2023,الكتف,مراكب صيد ساحلي مجهزة بمحرك,50,3,200,Feuil1
2023,الكتف,مراكب صيد ساحلي بدون  بمحرك,25,20,50,Feuil1
2023,المجموع,مراكب صيد ساحلي مجهزة بمحرك,564,36,2130,Feuil1
2023,المجموع,مراكب صيد ساحلي بدون  بمحرك,1421,82,1570,Feuil1
2023,المجموع,مراكب صيد بالشنشول ( شباك دائرة),9,0,160,Feuil1
2023,المجموع,وحدات صيد بالجر,1,0,15,Feuil1
2023,المجموع,وحدات صيد السمك الأزرق,22,0,321,Feuil1
2023,المجموع,وحدات صيد التن,6,0,60,Feuil1
2023,المجموع,تربية اسماك,0,0,0,Feuil1
2023,المجموع,الصيد على الأقدام,0,0,0,Feuil1
2024,جرجيس,مراكب صيد ساحلي مجهزة بمحرك,190,30,580,Feuil1
2024,جرجيس,مراكب صيد ساحلي بدون  محرك,670,45,670,Feuil1
2024,جرجيس,مراكب صيد بالشنشول ( شباك دائرة),10,0,180,Feuil1
2024,جرجيس,وحدات صيد بالجر,3,0,45,Feuil1
2024,جرجيس,وحدات صيد السمك الأزرق,19,0,285,Feuil1
2024,جرجيس,وحدات صيد التن,8,0,120,Feuil1
2024,جرجيس,تربية اسماك,0,0,0,Feuil1
2024,جرجيس,الصيد على الأقدام,0,0,0,Feuil1
2024,حومة السوق,مراكب صيد ساحلي مجهزة بمحرك,50,2,200,Feuil1
2024,حومة السوق,مراكب صيد ساحلي بدون  محرك,170,6,340,Feuil1
2024,حومة السوق,مراكب صيد السمك الأزرق,3,0,36,Feuil1
2024,آجيــم,مراكب صيد ساحلي مجهزة بمحرك,130,0,600,Feuil1
2024,آجيــم,مراكب صيد ساحلي بدون  محرك,450,0,500,Feuil1
2024,آجيــم,الصيد على الأقدام,0,0,0,Feuil1
2024,حاسي جلابة,مراكب صيد ساحلي مجهزة بمحرك,25,6,50,Feuil1
2024,حاسي جلابة,مراكب صيد ساحلي بدون  محرك,55,6,55,Feuil1
2024,بوغرارة,مراكب صيد ساحلي مجهزة بمحرك,70,1,210,Feuil1
2024,بوغرارة,مراكب صيد ساحلي بدون  محرك,65,2,130,Feuil1
2024,بوغرارة,تربية اسماك,0,0,0,Feuil1
2024,القرين,مراكب صيد ساحلي مجهزة بمحرك,15,5,30,Feuil1
2024,القرين,مراكب صيد ساحلي بدون  محرك,42,8,42,Feuil1
2024,القرين,الصيد على الأقدام,0,0,0,Feuil1
2024,الكتف,مراكب صيد ساحلي مجهزة بمحرك,47,1,188,Feuil1
2024,الكتف,مراكب صيد ساحلي بدون  محرك,15,5,30,Feuil1
2024,المجموع,مراكب صيد ساحلي مجهزة بمحرك,527,45,1858,Feuil1
2024,المجموع,مراكب صيد ساحلي بدون  محرك,1467,72,1767,Feuil1
2024,المجموع,مراكب صيد بالشنشول ( شباك دائرة),10,0,180,Feuil1
2024,المجموع,وحدات صيد بالجر,3,0,45,Feuil1
2024,المجموع,وحدات صيد السمك الأزرق,22,0,321,Feuil1
2024,المجموع,وحدات صيد التن,8,0,120,Feuil1
2024,المجموع,تربية اسماك,0,0,0,Feuil1
2024,المجموع,الصيد على الأقدام,0,0,0,Feuil1
