annee,source,ressources_million_m3_an,exploitation_million_m3_an,nombre_de_puits,nombre_de_puits_equipes,feuille
2023,Eaux souterraines,87.47,71.06,6144.0,3736,Feuil1
2023,Nappes phréatiques,12.67,14.44,5905.0,3531,Feuil1
2023,Nappes profondes,74.8,56.62,239.0,205,Feuil1
2023,Eaux de ruissellement,20.0,11.5,,_,Feuil1
2023,Eaux usées traitées,7.71,0.961,,تسعة (9) محطات لمعالجة المياه المستعملة,Feuil1
2023,Déssalement d'eaux souterraines salées,14.798,10.77,,أربع (4)  محطات تحلية للماء الصالح للشرب,Feuil1
2023,Déssalement d'eau de mer,34.178,15.273,,محطة تحلية مياه البحر بجربة,Feuil1
2024,Eaux souterraines,87.47,68.31,6209.0,4027,Feuil1
2024,Nappes phréatiques,12.67,14.37,5965.0,3824,Feuil1
2024,Nappes profondes,74.8,53.94,244.0,203,Feuil1
2024,Eaux de ruissellement,20.0,11.5,,_,Feuil1
2024,Eaux usées traitées,8.81,0.912,,تسعة (9) محطات لمعالجة المياه المستعملة,Feuil1
2024,Déssalement d'eaux souterraines salées,14.58,10.57,,أربع (4)  محطات تحلية للماء الصالح للشرب     ( جرجيس+ بني خداش + بن قردان + قلالة),Feuil1
2024,Déssalement d'eau de mer,35.322,15.78,,محطة تحلية مياه البحر بجربة,Feuil1
