annee,type_dinfraction,nombre_dinfraction,montant_dinfraction_en_dinars,type_de_rapprochement,nombre_de_rapprochement,montant_de_rapprochement_en_dinars,feuille
2016,الصيد البري,8,51000,الرعي,2,103.0,Feuil1
2016,الحرث والزرع,1,400,قطع اشجار,1,72.0,Feuil1
2016,تكسير وتشييد,2,8800,_,0,0.0,Feuil1
2016,تشييد غرف,1,2000,_,0,0.0,Feuil1
2017,الصيد البري,6,21000,الرعي,4,230.0,Feuil1
2017,تكسير وحرث,6,169000,قطع اشجار,5,392.5,Feuil1
2017,قلع اشجار غابية,1,608,نقل حطب,1,50.0,Feuil1
2017,الحوز والغراسة,2,980,_,0,0.0,Feuil1
2018,الرعي,2,774,الرعي,3,216.0,Feuil1
2018,قلع اشجار غابية,1,90,التقليع,2,200.0,Feuil1
2018,اجتياز الحديقة دون ترخيص,5,235,_,0,0.0,Feuil1
2019,الحوز والبناء,1,500,الرعي,3,216.0,Feuil1
2019,الصيد المحظور,3,34000,التقليع,2,200.0,Feuil1
2019,المسك والاتجار بحيوانات برية,2,24000,_,0,0.0,Feuil1
