societe_exportatrice,quantite_en_tonne,destination,feuille
بن كالية,22.892,"إيطاليا ، فرنسا ، إسبانيا , أمريكا ، النيجر ، تنشاد , روسيا ، الفيليبين ، ماليزيا , تايلندا ، تركيا",Feuil1
منارتن,720.85,أمريكا ، فرنسا ، كندا,Feuil1
سوم اكسبو,0.0,,Feuil1
كوبرود,0.0,,Feuil1
جرجيس ماري,5.99,إيطاليا,Feuil1
SCTM,1076.5,"فرنسا , إيطاليا , إسبانيا",Feuil1
كوتسار,0.0,,Feuil1
شركة بركات,5.499,اليونان,Feuil1
سوبام سود,32.0,"النيجر ، تنشاد , الجزائر , أكرانيا",Feuil1
ايكوفيش,0.0,,Feuil1
سيدي كبير,0.823,اليونان,Feuil1
توكراب,224.67,"الفلبين , تيلندا , كوريا الجنوبية",Feuil1
