delegation,nom_de_puit,profondeur_m,debit_litre_seconde,remarques,feuille
بنقردان,محيجرة 1,60.0,4.0,مراعي,Feuil1
بنقردان,المقرون,6.0,3.0,**,Feuil1
بنقردان,التلغ,20.0,2.0,**,Feuil1
بنقردان,المريسة,40.0,1.2,**,Feuil1
بنقردان,أم القرصان,40.0,1.5,مركز الحرس,Feuil1
بنقردان,شعبة الدخاخنة,20.0,2.0,**,Feuil1
بنقردان,الصطيل,12.0,2.0,**,Feuil1
بنقردان,هنشير الغار,46.0,2.0,**,Feuil1
بنقردان,سانية صويد,26.0,2.0,**,Feuil1
بنقردان,أم الشراكات  1,20.0,1.5,**,Feuil1
بنقردان,أم الشراكات  2,15.0,1.0,**,Feuil1
بنقردان,المنفس,26.0,1.2,**,Feuil1
بنقردان,جدلاوين,20.0,1.5,**,Feuil1
بنقردان,تقوفتية,23.0,2.0,**,Feuil1
بنقردان,حميلة المزار,60.0,1.5,**,Feuil1
بنقردان,عرق المبطوح,55.0,1.0,**,Feuil1
بنقردان,بن عيزار,30.0,2.0,**,Feuil1
بنقردان,صليصل,25.0,1.5,**,Feuil1
بنقردان,المصنع,40.0,1.2,**,Feuil1
بنقردان,عضيّم,40.0,1.5,**,Feuil1
بنقردان,مشهد رواق,40.0,2.0,متوقفة ( بوّابة عبور للمنطقة العازلة),Feuil1
بنقردان,لائحة كردمين,70.0,2.0,مراعي,Feuil1
بنقردان,قرعات الحلاّب,60.0,0.5,**,Feuil1
بنقردان,لبّادة,30.0,2.0,**,Feuil1
بنقردان,الطويلات,60.0,1.0,**,Feuil1
بنقردان,سعيدية,30.0,2.0,**,Feuil1
بنقردان,الكردية,20.0,0.7,**,Feuil1
بنقردان,الحميلة1,30.0,0.5,**,Feuil1
بنقردان,الحميلة2,60.0,0.5,**,Feuil1
بنقردان,النفاتية,15.0,1.0,**,Feuil1
بنقردان,بروان,24.0,1.2,مراعي,Feuil1
بنقردان,البراهميّة,22.0,1.2,متوقفة بسبب الزحف العمراني وعدم وجود مجمع,Feuil1
بنقردان,الطلح,20.0,1.3,**,Feuil1
بنقردان,هيمان 1,20.0,1.3,**,Feuil1
بنقردان,الحمادة,50.0,4.0,تدخل الشركة الوطنية لاستغلال وتوزيع المياه,Feuil1
بنقردان,العامرية,60.0,2.0,مراعي,Feuil1
بني خداش,بحيرة بلخشب,40.0,2.0,**,Feuil1
بني خداش,بلخشب 2,70.0,1.5,**,Feuil1
بني خداش,الحشّانة,160.0,2.0,**,Feuil1
بني خداش,مثينين,195.0,2.0,**,Feuil1
بني خداش,لجف عون,240.0,0.5,**,Feuil1
بني خداش,الزريديب,190.0,1.0,**,Feuil1
بني خداش,فم النقب,15.0,1.5,**,Feuil1
بني خداش,زغاية,30.0,0.5,**,Feuil1
بني خداش,عائلة خليفة,22.0,1.5,غير مستغلّة لانخفاض المنسوب,Feuil1
بني خداش,مشهد العرف,155.0,1.5,**,Feuil1
بني خداش,الهمليّة 1,30.0,0.5,**,Feuil1
بني خداش,وادي السدره,150.0,3.0,**,Feuil1
بني خداش,البرّاد,30.0,1.0,**,Feuil1
بني خداش,بن نيران,150.0,2.5,غير مستغلّة لانسداد البئر على مستوى 142 م (في انتظار التدخل على مستوى البئر),Feuil1
سيدي مخلوف,الولجة,,4.0,مستغل لسقي المواشي,Feuil1
