annee,culture,production_tonne,feuille
2013,pomme_de_terre,10119.999999999998,A.S_Tonne
2013,tomates,18733.0,A.S_Tonne
2013,concombre,1420.2,A.S_Tonne
2013,piments,12966.0,A.S_Tonne
2013,courge,2051.8,A.S_Tonne
2013,divers,3842.2239999999997,A.S_Tonne
2014,pomme_de_terre,12892.000000000002,A.S_Tonne
2014,tomates,20300.0,A.S_Tonne
2014,concombre,1487.924,A.S_Tonne
2014,piments,14336.999999999996,A.S_Tonne
2014,courge,2459.9799999999996,A.S_Tonne
2014,divers,5973.0,A.S_Tonne
2015,pomme_de_terre,12080.0,A.S_Tonne
2015,tomates,22160.0,A.S_Tonne
2015,concombre,1976.5,A.S_Tonne
2015,piments,17189.35,A.S_Tonne
2015,courge,4440.0,A.S_Tonne
2015,divers,4132.8,A.S_Tonne
2016,pomme_de_terre,10603.9,A.S_Tonne
2016,tomates,22676.0,A.S_Tonne
2016,concombre,1325.53,A.S_Tonne
2016,piments,12870.29348,A.S_Tonne
2016,courge,3788.3439999999996,A.S_Tonne
2016,divers,5564.781,A.S_Tonne
2017,pomme_de_terre,5454.04125,A.S_Tonne
2017,tomates,8037.9051,A.S_Tonne
2017,concombre,1429.6109999999999,A.S_Tonne
2017,piments,6092.2845,A.S_Tonne
2017,courge,2071.152,A.S_Tonne
2017,divers,2565.7989000000002,A.S_Tonne
2018,pomme_de_terre,6600.0,A.S_Tonne
2018,tomates,19928.399999999998,A.S_Tonne
2018,concombre,1681.05,A.S_Tonne
2018,piments,16866.9,A.S_Tonne
2018,courge,4625.3,A.S_Tonne
2018,divers,3661.2,A.S_Tonne
2019,pomme_de_terre,6931.950000000001,A.S_Tonne
2019,tomates,18871.95,A.S_Tonne
2019,concombre,1156.8,A.S_Tonne
2019,piments,13818.3,A.S_Tonne
2019,courge,3540.35,A.S_Tonne
2019,divers,4467.2,A.S_Tonne
2020,pomme_de_terre,9115.6,A.S_Tonne
2020,tomates,20079.0,A.S_Tonne
2020,concombre,1896.5,A.S_Tonne
2020,piments,22100.0,A.S_Tonne
2020,courge,3254.1,A.S_Tonne
2020,divers,4916.4,A.S_Tonne
2021,pomme_de_terre,10604.722000000002,A.S_Tonne
2021,tomates,20997.800000000003,A.S_Tonne
2021,concombre,1813.85,A.S_Tonne
2021,piments,19993.337499999998,A.S_Tonne
2021,courge,2099.246,A.S_Tonne
2021,divers,3152.55,A.S_Tonne
2022,pomme_de_terre,4100.0,A.S_Tonne
2022,tomates,12130.0,A.S_Tonne
2022,concombre,1358.0,A.S_Tonne
2022,piments,10243.0,A.S_Tonne
2022,courge,2184.0,A.S_Tonne
2022,divers,2576.0,A.S_Tonne
2023,pomme_de_terre,3731.0,A.S_Tonne
2023,tomates,13548.0,A.S_Tonne
2023,concombre,1857.0,A.S_Tonne
2023,piments,13527.0,A.S_Tonne
2023,courge,2452.0,A.S_Tonne
2023,divers,2833.0,A.S_Tonne
2024,pomme_de_terre,3375.0,A.S_Tonne
2024,tomates,4612.0,A.S_Tonne
2024,concombre,203.0,A.S_Tonne
2024,piments,4594.0,A.S_Tonne
2024,courge,562.0,A.S_Tonne
2024,divers,665.0,A.S_Tonne
