annee,culture,production_tonne,feuille
2023,oignon,1290.0,Feuil1
2023,ail,20.0,Feuil1
2023,carotte,1080.0,Feuil1
2023,petit pois,567.0,Feuil1
2023,laitue,440.0,Feuil1
2023,feve,842.0,Feuil1
2023,navet,555.0,Feuil1
2023,divers,190.0,Feuil1
2023,legumes_feuille,826.0,Feuil1
2022,oignon,2030.0,Feuil1
2022,ail,15.0,Feuil1
2022,carotte,1680.0,Feuil1
2022,petit pois,640.0,Feuil1
2022,laitue,420.0,Feuil1
2022,feve,1460.0,Feuil1
2022,navet,960.0,Feuil1
2022,divers,315.0,Feuil1
2022,legumes_feuille,860.0,Feuil1
2021,oignon,2851.979436,Feuil1
2021,ail,51.0,Feuil1
2021,carotte,2705.7,Feuil1
2021,petit pois,1450.0,Feuil1
2021,laitue,1079.2,Feuil1
2021,feve,2415.75,Feuil1
2021,navet,1765.98,Feuil1
2021,divers,602.55,Feuil1
2021,legumes_feuille,1435.7,Feuil1
2020,oignon,3237.0,Feuil1
2020,ail,40.0,Feuil1
2020,carotte,2200.0,Feuil1
2020,petit pois,1135.0,Feuil1
2020,laitue,920.0,Feuil1
2020,feve,2144.5,Feuil1
2020,navet,2452.4,Feuil1
2020,divers,831.8,Feuil1
2020,legumes_feuille,1097.4,Feuil1
2019,oignon,4566.0,Feuil1
2019,ail,70.0,Feuil1
2019,carotte,2428.8,Feuil1
2019,petit pois,1775.0,Feuil1
2019,laitue,799.0,Feuil1
2019,feve,3071.25,Feuil1
2019,navet,3234.0,Feuil1
2019,divers,933.0,Feuil1
2019,legumes_feuille,1175.8,Feuil1
2018,oignon,1246.75,Feuil1
2018,ail,30.0,Feuil1
2018,carotte,1888.6,Feuil1
2018,petit pois,343.0,Feuil1
2018,laitue,654.6,Feuil1
2018,feve,879.75,Feuil1
2018,navet,1908.9,Feuil1
2018,divers,339.75,Feuil1
2018,legumes_feuille,881.0,Feuil1
2017,oignon,1453.0,Feuil1
2017,ail,43.0,Feuil1
2017,carotte,1251.125,Feuil1
2017,petit pois,325.7,Feuil1
2017,laitue,740.0,Feuil1
2017,feve,1042.56,Feuil1
2017,navet,1661.2,Feuil1
2017,divers,733.989,Feuil1
2017,legumes_feuille,758.9000000000001,Feuil1
2016,oignon,1240.0,Feuil1
2016,ail,15.0,Feuil1
2016,carotte,1224.95,Feuil1
2016,petit pois,160.0,Feuil1
2016,laitue,1025.906,Feuil1
2016,feve,1094.5,Feuil1
2016,navet,1960.05,Feuil1
2016,divers,522.1754000000001,Feuil1
2016,legumes_feuille,1110.0,Feuil1
2015,oignon,1862.8,Feuil1
2015,ail,20.0,Feuil1
2015,carotte,2546.1,Feuil1
2015,petit pois,610.0,Feuil1
2015,laitue,1060.0,Feuil1
2015,feve,2680.0,Feuil1
2015,navet,3090.0,Feuil1
2015,divers,545.0,Feuil1
2015,legumes_feuille,1145.0,Feuil1
2014,oignon,1748.0,Feuil1
2014,ail,11.0,Feuil1
2014,carotte,2830.9500000000003,Feuil1
2014,petit pois,510.0,Feuil1
2014,laitue,1940.0,Feuil1
2014,feve,1643.8,Feuil1
2014,navet,2997.55,Feuil1
2014,divers,923.7,Feuil1
2014,legumes_feuille,1605.125,Feuil1
2013,oignon,1633.0400000000002,Feuil1
2013,ail,10.0,Feuil1
2013,carotte,1645.1,Feuil1
2013,petit pois,450.2399999999999,Feuil1
2013,laitue,880.0999999999999,Feuil1
2013,feve,1007.96,Feuil1
2013,navet,2869.75,Feuil1
2013,divers,462.0,Feuil1
2013,legumes_feuille,1830.15,Feuil1
