annee,designation,production,feuille
2013,viandes_rouges_Tonne,6100,Production_Animale
2013,viandes_blanches_Tonne,12892,Production_Animale
2013,Lait_Tonne,52000,Production_Animale
2013,œufs_milliers,12000,Production_Animale
2013,Laine_Tonne,120,Production_Animale
2013,Peche_Tonne,26828,Production_Animale
2014,viandes_rouges_Tonne,6406,Production_Animale
2014,viandes_blanches_Tonne,13133,Production_Animale
2014,Lait_Tonne,55000,Production_Animale
2014,œufs_milliers,17400,Production_Animale
2014,Laine_Tonne,150,Production_Animale
2014,Peche_Tonne,25304,Production_Animale
2015,viandes_rouges_Tonne,7000,Production_Animale
2015,viandes_blanches_Tonne,13495,Production_Animale
2015,Lait_Tonne,57500,Production_Animale
2015,œufs_milliers,20700,Production_Animale
2015,Laine_Tonne,130,Production_Animale
2015,Peche_Tonne,28116,Production_Animale
2016,viandes_rouges_Tonne,7300,Production_Animale
2016,viandes_blanches_Tonne,14225,Production_Animale
2016,Lait_Tonne,58600,Production_Animale
2016,œufs_milliers,29500,Production_Animale
2016,Laine_Tonne,145,Production_Animale
2016,Peche_Tonne,25166,Production_Animale
2017,viandes_rouges_Tonne,7076,Production_Animale
2017,viandes_blanches_Tonne,13909,Production_Animale
2017,Lait_Tonne,57100,Production_Animale
2017,œufs_milliers,35000,Production_Animale
2017,Laine_Tonne,160,Production_Animale
2017,Peche_Tonne,30928,Production_Animale
2018,viandes_rouges_Tonne,7425,Production_Animale
2018,viandes_blanches_Tonne,16336,Production_Animale
2018,Lait_Tonne,42700,Production_Animale
2018,œufs_milliers,30300,Production_Animale
2018,Laine_Tonne,184,Production_Animale
2018,Peche_Tonne,33675,Production_Animale
2019,viandes_rouges_Tonne,7073,Production_Animale
2019,viandes_blanches_Tonne,15856,Production_Animale
2019,Lait_Tonne,34500,Production_Animale
2019,œufs_milliers,26800,Production_Animale
2019,Laine_Tonne,190,Production_Animale
2019,Peche_Tonne,32963,Production_Animale
2020,viandes_rouges_Tonne,7614,Production_Animale
2020,viandes_blanches_Tonne,14918,Production_Animale
2020,Lait_Tonne,37200,Production_Animale
2020,œufs_milliers,24100,Production_Animale
2020,Laine_Tonne,197,Production_Animale
2020,Peche_Tonne,32642,Production_Animale
2021,viandes_rouges_Tonne,5445,Production_Animale
2021,viandes_blanches_Tonne,8849,Production_Animale
2021,Lait_Tonne,44000,Production_Animale
2021,œufs_milliers,24500,Production_Animale
2021,Laine_Tonne,196,Production_Animale
2021,Peche_Tonne,32204,Production_Animale
2022,viandes_rouges_Tonne,6072,Production_Animale
2022,viandes_blanches_Tonne,8810,Production_Animale
2022,Lait_Tonne,39400,Production_Animale
2022,œufs_milliers,24500,Production_Animale
2022,Laine_Tonne,209,Production_Animale
2022,Peche_Tonne,35841,Production_Animale
2023,viandes_rouges_Tonne,6054,Production_Animale
2023,viandes_blanches_Tonne,8858,Production_Animale
2023,Lait_Tonne,34800,Production_Animale
2023,œufs_milliers,24600,Production_Animale
2023,Laine_Tonne,282,Production_Animale
2023,Peche_Tonne,39318,Production_Animale
2024,viandes_rouges_Tonne,6164,Production_Animale
2024,viandes_blanches_Tonne,9291,Production_Animale
2024,Lait_Tonne,30200,Production_Animale
2024,œufs_milliers,24700,Production_Animale
2024,Laine_Tonne,278,Production_Animale
2024,Peche_Tonne,35069,Production_Animale
