annee,delegation,superficies_irrigables_ha,superficies_irriguees_ha,superficies_exploitees_ha,feuille
2022,monastir,3,2,0.0,sup_irr_prive
2022,ouardanine,95,25,28.0,sup_irr_prive
2022,sahline,45,38,62.0,sup_irr_prive
2022,zarmdine,220,403,395.0,sup_irr_prive
2022,beni_hassen,95,107,103.0,sup_irr_prive
2022,jemmel,460,112,41.0,sup_irr_prive
2022,bembla,40,55,48.0,sup_irr_prive
2022,moknine,268,117,13.4,sup_irr_prive
2022,bekalta,200,146,155.0,sup_irr_prive
2022,teboulba,223,170,184.0,sup_irr_prive
2022,ksar_hellal_ksiba_salambou,243,229,215.0,sup_irr_prive
2023,monastir,2,2,0.0,sup_irr_prive
2023,ouardanine,90,20,25.0,sup_irr_prive
2023,sahline,40,35,60.0,sup_irr_prive
2023,zarmdine,200,400,390.0,sup_irr_prive
2023,beni_hassen,90,100,100.0,sup_irr_prive
2023,jemmel,450,110,40.0,sup_irr_prive
2023,bembla,35,50,40.0,sup_irr_prive
2023,moknine,260,110,10.0,sup_irr_prive
2023,bekalta,190,140,150.0,sup_irr_prive
2023,teboulba,220,160,180.0,sup_irr_prive
2023,ksar_hellal_ksiba_salambou,240,220,210.0,sup_irr_prive
2024,monastir,2,2,0.0,sup_irr_prive
2024,ouardanine,90,20,13.0,sup_irr_prive
2024,sahline,40,35,39.0,sup_irr_prive
2024,zarmdine,200,200,339.0,sup_irr_prive
2024,beni_hassen,90,90,32.0,sup_irr_prive
2024,jemmel,450,110,106.0,sup_irr_prive
2024,bembla,35,50,44.0,sup_irr_prive
2024,moknine,260,110,69.0,sup_irr_prive
2024,bekalta,190,140,30.0,sup_irr_prive
2024,teboulba,220,160,30.0,sup_irr_prive
2024,ksar_hellal_ksiba_salambou,240,220,95.0,sup_irr_prive
