annee,delegation,valeur_des_subventions_en_milles_dinars,valeur_dinvestissement_en_milles_dinars,nombre_des_projets,feuille
2022,Nabeul,35.788,69.574,3,Feuil1
2022,Dar Chaabane el fehri,25.113,71.19800000000001,2,Feuil1
2022,Beni Khiar,136.606,396.013,17,Feuil1
2022,Korba,46.786,99.13799999999999,11,Feuil1
2022,Menzel Tmime,3.082,9.275,3,Feuil1
2022,El Mida,54.334,126.38,14,Feuil1
2022,Kelibia,9.923,22.609,3,Feuil1
2022,Hammam Laghzaz,32.945,59.9,1,Feuil1
2022,Haouaria,57.226,151.045,9,Feuil1
2022,Takelsa,68.904,166.98,5,Feuil1
2022,Soliman,51.56,126.047,13,Feuil1
2022,Menzel Bou Zelfa,2.393,4.35,4,Feuil1
2022,Beni Khalled,10.097999999999999,25.451,1,Feuil1
2022,Grombalia,23.002000000000002,60.733999999999995,3,Feuil1
2022,Bou Argoub,38.794,89.52,4,Feuil1
2022,Hammamet,0.693,1.26,1,Feuil1
2023,Nabeul,0.52,0.946,1,Feuil1
2023,Dar Chaabane el fehri,6.504,20.649,1,Feuil1
2023,Beni Khiar,38.566,70.12,6,Feuil1
2023,Korba,24.008,43.65,2,Feuil1
2023,Menzel Tmime,0.0,0.0,0,Feuil1
2023,El Mida,26.496,65.596,3,Feuil1
2023,Kelibia,34.477,107.112,5,Feuil1
2023,Hammam Laghzaz,0.0,0.0,0,Feuil1
2023,Haouaria,4.284,14.28,1,Feuil1
2023,Takelsa,0.0,0.0,0,Feuil1
2023,Soliman,4.235,14.117,3,Feuil1
2023,Menzel Bou Zelfa,14.068,32.51,4,Feuil1
2023,Beni Khalled,36.819,68.279,3,Feuil1
2023,Grombalia,37.584,70.446,3,Feuil1
2023,Bou Argoub,34.23,114.1,3,Feuil1
2023,Hammamet,1.815,6.05,1,Feuil1
2024,Nabeul,35.326,64.23,3,Feuil1
2024,Dar Chaabane el fehri,40.79,86.384,2,Feuil1
2024,Beni Khiar,74.652,190.208,7,Feuil1
2024,Korba,36.514,80.882,5,Feuil1
2024,Menzel Tmime,0.55,1.0,1,Feuil1
2024,El Mida,17.25,57.5,1,Feuil1
2024,Kelibia,28.095,91.402,3,Feuil1
2024,Hammam Laghzaz,0.0,0.0,0,Feuil1
2024,Haouaria,39.778,87.523,4,Feuil1
2024,Takelsa,9.827,34.078,2,Feuil1
2024,Soliman,14.809,49.363,6,Feuil1
2024,Menzel Bou Zelfa,0.746,2.488,1,Feuil1
2024,Beni Khalled,17.202,48.707,2,Feuil1
2024,Grombalia,66.915,130.45,4,Feuil1
2024,Bou Argoub,7.904,27.28,1,Feuil1
2024,Hammamet,23.46,70.35,2,Feuil1
