annee,delegation,superficies_irrigables_ha,superficies_irriguees_ha,superficies_exploitees_ha,feuille
2022,NABEUL,433,200,220,Feuil1
2022,DAR CHAABANE EL FEHRI,120,85,95,Feuil1
2022,BENI KHIAR,291,215,300,Feuil1
2022,KORBA,1744,800,1950,Feuil1
2022,MENZEL TEMIME,890,600,1150,Feuil1
2022,EL MIDA,1303,900,1650,Feuil1
2022,KELIBIA,424,200,230,Feuil1
2022,HAMMAM EL GUEZAZ,250,100,350,Feuil1
2022,EL HAOUARIA,793,700,1200,Feuil1
2022,TAKILSA,1794,1600,2050,Feuil1
2022,SOLIMAN,4721,4200,5150,Feuil1
2022,MENZEL BOUZELFA,4655,4200,4300,Feuil1
2022,BENI KHALLED,4034,3300,3350,Feuil1
2022,GROMBALIA,4241,2600,3300,Feuil1
2022,BOUARGOUB,1158,900,900,Feuil1
2022,HAMMAMET,249,100,100,Feuil1
2023,NABEUL,433,280,280,Feuil1
2023,DAR CHAABANE EL FEHRI,120,90,100,Feuil1
2023,BENI KHIAR,291,226,305,Feuil1
2023,KORBA,1744,500,1650,Feuil1
2023,MENZEL TEMIME,1020,450,650,Feuil1
2023,EL MIDA,1303,650,1300,Feuil1
2023,KELIBIA,424,50,100,Feuil1
2023,HAMMAM EL GUEZAZ,250,100,350,Feuil1
2023,EL HAOUARIA,793,400,700,Feuil1
2023,TAKILSA,1794,950,1800,Feuil1
2023,SOLIMAN,4721,4000,5000,Feuil1
2023,MENZEL BOUZELFA,4655,4150,4300,Feuil1
2023,BENI KHALLED,4034,3200,3300,Feuil1
2023,GROMBALIA,4391,2300,2950,Feuil1
2023,BOUARGOUB,1158,900,900,Feuil1
2023,HAMMAMET,249,100,100,Feuil1
2024,NABEUL,433,250,250,Feuil1
2024,DAR CHAABANE EL FEHRI,120,90,95,Feuil1
2024,BENI KHIAR,291,220,280,Feuil1
2024,KORBA,1744,430,780,Feuil1
2024,MENZEL TEMIME,890,350,600,Feuil1
2024,EL MIDA,1303,450,1100,Feuil1
2024,KELIBIA,424,100,120,Feuil1
2024,HAMMAM EL GUEZAZ,250,100,320,Feuil1
2024,EL HAOUARIA,793,500,750,Feuil1
2024,TAKILSA,1794,900,1000,Feuil1
2024,SOLIMAN,4721,2400,3000,Feuil1
2024,MENZEL BOUZELFA,4655,4000,4300,Feuil1
2024,BENI KHALLED,4034,3200,3500,Feuil1
2024,GROMBALIA,4241,2150,2400,Feuil1
2024,BOUARGOUB,1158,700,750,Feuil1
2024,HAMMAMET,249,100,100,Feuil1
