annee,delegation,nombre_des_huileries,capacite_de_stockage_en_tonne,capacite_de_transformation_en_tonne_par_jour,feuille
2022,Nabeul,2.0,30.0,30.0,Feuil1
2022,Dar Chaabane EL Fehri,,,,Feuil1
2022,Beni Khiar,10.0,745.0,660.0,Feuil1
2022,Korba,6.0,535.0,285.0,Feuil1
2022,Menzel Tmime,3.0,235.0,115.0,Feuil1
2022,El Mida,4.0,30.0,120.0,Feuil1
2022,Kelibia,5.0,630.0,330.0,Feuil1
2022,Hammam Laghzaz,2.0,150.0,110.0,Feuil1
2022,Haouaria,2.0,135.0,95.0,Feuil1
2022,Takelsa,4.0,291.0,140.0,Feuil1
2022,Soliman,2.0,300.0,35.0,Feuil1
2022,Menzel Bou Zelfa,2.0,255.0,50.0,Feuil1
2022,Beni Khalled,1.0,220.0,100.0,Feuil1
2022,Grombalia,2.0,290.0,120.0,Feuil1
2022,Bou Argoub,3.0,390.0,140.0,Feuil1
2022,Hammamet,4.0,1090.0,200.0,Feuil1
2023,Nabeul,2.0,30.0,30.0,Feuil1
2023,Dar Chaabane EL Fehri,,,,Feuil1
2023,Beni Khiar,10.0,675.0,620.0,Feuil1
2023,Korba,6.0,538.0,320.0,Feuil1
2023,Menzel Tmime,3.0,249.0,170.0,Feuil1
2023,El Mida,4.0,61.0,180.0,Feuil1
2023,Kelibia,5.0,504.0,285.0,Feuil1
2023,Hammam Laghzaz,2.0,150.0,185.0,Feuil1
2023,Haouaria,2.0,132.0,115.0,Feuil1
2023,Takelsa,4.0,240.0,115.0,Feuil1
2023,Soliman,2.0,211.0,35.0,Feuil1
2023,Menzel Bou Zelfa,2.0,220.0,50.0,Feuil1
2023,Beni Khalled,1.0,220.0,60.0,Feuil1
2023,Grombalia,2.0,290.0,70.0,Feuil1
2023,Bou Argoub,3.0,393.0,140.0,Feuil1
2023,Hammamet,4.0,990.0,175.0,Feuil1
2024,Nabeul,2.0,30.0,30.0,Feuil1
2024,Dar Chaabane EL Fehri,,,,Feuil1
2024,Beni Khiar,9.0,756.0,710.0,Feuil1
2024,Korba,6.0,436.0,355.0,Feuil1
2024,Menzel Tmime,3.0,269.0,170.0,Feuil1
2024,El Mida,4.0,61.0,180.0,Feuil1
2024,Kelibia,5.0,504.0,285.0,Feuil1
2024,Hammam Laghzaz,3.0,160.0,245.0,Feuil1
2024,Haouaria,2.0,137.0,95.0,Feuil1
2024,Takelsa,4.0,261.0,115.0,Feuil1
2024,Soliman,2.0,300.0,35.0,Feuil1
2024,Menzel Bou Zelfa,2.0,215.0,50.0,Feuil1
2024,Beni Khalled,1.0,220.0,60.0,Feuil1
2024,Grombalia,2.0,290.0,70.0,Feuil1
2024,Bou Argoub,3.0,393.0,120.0,Feuil1
2024,Hammamet,4.0,1050.0,175.0,Feuil1
