nom_cellule_vulgarisation,delegation,secteurs,centre_rayonnement_agricole,adresse,telephone,feuille
صفاقس,ساقية الزيت,السدرة - سيدي صالح - الأنس - تنيور,مركز الإشعاع الفلاحي بسيدي صالح,"طريق المطار كلم 0,5",74226979.0,Feuil1
,صفاقس الجنوبية,الخزانات - عيون المايل - العوابد - العين - بوزيان-قرمدة - الفران الشمالية,مركز الإشعاع الفلاحي بالخزانات,,,Feuil1
,طينة,طينة - الحاجب - سيدي عبيد,مركز الإشعاع الفلاحي بسيدي عبيد,,,Feuil1
,ساقية الدائر,ساقية الدائر، سيدي منصور، البدارنة، حقونة، السعادي ، أولاد الحاج عمر,_,,,Feuil1
عقارب,عقارب,عقارب - الصغار- بن سهلون - بولذياب - قرقور - التربة - زليانة - المحروقة,مركز الإشعاع الفلاحي بعقارب,شارع الحبيب بورقيبة عقارب,74271466.0,Feuil1
,,,مركز الإشعاع الفلاحي ببن سهلون,,,Feuil1
,,,مركز الإشعاع الفلاحي بقرقور,,,Feuil1
,,,مركز الإشعاع الفلاحي بالتربة,,,Feuil1
,,,مركز الإشعاع الفلاحي بالمحروقة,,,Feuil1
المحرس,المحرس,المحرس - سيدي غريب - السمارة - الشفار - عيثة الشلايا  - المحرس الجنوبية,مركز الإشعاع الفلاحي بالمحرس,الحي الإداري شارع 2 مارس,74290052.0,Feuil1
,,,مركز الإشعاع الفلاحي بالشفار,,,Feuil1
,,,مركز الإشعاع الفلاحي بعيثة الشلايا,,,Feuil1
,,,مركز الإشعاع الفلاحي بالسمارة سيدي غريب,,,Feuil1
الغريبة,الغريبة,الغريبة - الشعال - الحشيشينة الشمالية - الحشيشينة الجنوبية - المنار- السودان - النصر,مركز الإشعاع الفلاحي بالغريبة,شارع المغرب العربي قرب محطة الأرتال بالغريبة,74283795.0,Feuil1
,,,مركز الإشعاع الفلاحي بالسودان,,,Feuil1
,,,مركز الإشعاع الفلاحي بالحشيشينة,,,Feuil1
الصخيرة,الصخيرة,الخضراء - الصخيرة - نوال - القنيطرة - الحمادة - الصبيح - سيدي محمد,مركز الإشعاع الفلاحي بالصخيرة,طريق قابس,74295012.0,Feuil1
,,,مركز الإشعاع الفلاحي بنوال,,,Feuil1
,,,مركز الإشعاع الفلاحي بالحمادة,,,Feuil1
,,,مركز الإشعاع الفلاحي بسيدي امحمد,,,Feuil1
,,,مركز الإشعاع الفلاحي بصبيح,,,Feuil1
,,,مركز الإشعاع الفلاحي بالخضراء,,,Feuil1
منزل شاكر,منزل شاكر,منزل شاكر-بشكة- البقعة البيضاء-بئرالملولي-بوثادي-شعلاب-الحاج قاسم-تليل العجلة-بوجربوع-ماجل الدرج-الأعشاش-العوادنة,مركز الإشعاع الفلاحي بمنزل شاكر,شارع 7 نوفمبر منزل شاكر,74285068.0,Feuil1
,,,مركز الإشعاع الفلاحي بالبقعة البيضاء,,,Feuil1
,,,مركز الإشعاع الفلاحي ببوثدي,,,Feuil1
,,,مركز الإشعاع الفلاحي بالحاج قاسم,,,Feuil1
,,,مركز الإشعاع الفلاحي ببوجربوع,,,Feuil1
,,,مركز الإشعاع الفلاحي بالأعشاش,,,Feuil1
الحنشة,الحنشة,أولاد الطاهر- أولاد أحمد - بلتيش - الغطاطسة - بير الشعبة - الغيب - النيب - الحلالفة - أولاد عمر - لحجارة - البتاثة - دخان - النور,مركز الإشعاع الفلاحي بالحنشة,نهج ابن خلدون,74284318.0,Feuil1
,,,مركز الإشعاع الفلاحي مصباح,,,Feuil1
,,,مركز الإشعاع الفلاحي بسيدي حسن,,,Feuil1
,,,مركز الإشعاع الفلاحي ببئر صالح,,,Feuil1
,,,مركز الإشعاع الفلاحي بدخان,,,Feuil1
,,,مركز الإشعاع الفلاحي بالنصر,,,Feuil1
العامرة,العامرة,العامرة - المساترية - السلام - ذراع بن زايد - بودربالة,مركز الإشعاع الفلاحي بالعامرة,طريق المهدية كلم 30,74899200.0,Feuil1
,,,مركز الإشعاع الفلاحي ببليانة,,,Feuil1
,,,مركز الإشعاع الفلاحي بذراع بن زياد,,,Feuil1
,,,مركز الإشعاع الفلاحي بمساترية,,,Feuil1
جبنيانة,جبنيانة,الحوض - القلالجة - بليتش - اللوزة - بطرية - الحزق - العجانقة,مركز الإشعاع الفلاحي بجبنيانة,طريق المهدية,74880035.0,Feuil1
,,,مركز الإشعاع الفلاحي بقلالجة,,,Feuil1
,,,مركز الإشعاع الفلاحي بالعجانقة,,,Feuil1
,,,مركز الإشعاع الفلاحي بحزق,,,Feuil1
,,,مركز الإشعاع الفلاحي ببطرية,,,Feuil1
بئرعلي,بئرعلي,ناظور- بئر علي - القندول - واد الشيخ - ودران الشمالية-ودران الجنوبية - لبراج - بوسليم - السديرات الشمالية - السديرات الجنوبية - اللطايفة  - سيدي الظاهر,مركز الإشعاع الفلاحي بالناظور,شارع الحبيب بورقيبة,74277068.0,Feuil1
,,,مركز الإشعاع الفلاحي بالقندول,,,Feuil1
,,,مركز الإشعاع الفلاحي بودران,,,Feuil1
,,,مركز الإشعاع الفلاحي بالأبراج,,,Feuil1
,,,مركز الإشعاع الفلاحي باللطفاية,,,Feuil1
,,,مركز الإشعاع الفلاحي بسيدي ظاهر,,,Feuil1
قرقنة,قرقنة,مليتة - الرملة - أولاد قاسم - الكلابين - الشرقي - سيدي فرج - النجاة - القنطرة - القراطن - العطايا,مركز الإشعاع الفلاحي بالرملة,الرملة قرقنة,74481096.0,Feuil1
,,,مركز الإشعاع الفلاحي بمليتة,,,Feuil1
