annee,delegation,analyses_sol,etude_construction_maison,etude_vocation_terrain,etude_projets_agricoles,etude_octroi_subvention_fiscale,enregistrement_infractions,etude_autorisations_carrieres,operations_immobilieres,feuille
2024.0,صفاقس الجنوبية,7.0,5.0,115.0,2.0,5.0,10.0,1.0,1.0,Feuil1
2024.0,صفاقس الغربية,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,Feuil1
2024.0,صفاقس المدينة,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Feuil1
2024.0,ساقية الدائر,5.0,6.0,120.0,3.0,1.0,10.0,0.0,2.0,Feuil1
2024.0,ساقية الزيت,5.0,4.0,100.0,3.0,1.0,8.0,0.0,2.0,Feuil1
2024.0,قرقنة,1.0,125.0,35.0,1.0,0.0,2.0,0.0,5.0,Feuil1
2024.0,العامرة,10.0,3.0,10.0,2.0,1.0,4.0,0.0,0.0,Feuil1
2024.0,جبنيانة,8.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,Feuil1
2024.0,الحنشة,50.0,3.0,10.0,1.0,2.0,5.0,0.0,0.0,Feuil1
2024.0,منزل شاكر,65.0,4.0,25.0,4.0,20.0,8.0,0.0,0.0,Feuil1
2024.0,بئر علي بن خليفة,45.0,3.0,5.0,1.0,10.0,0.0,2.0,0.0,Feuil1
2024.0,عقارب,40.0,5.0,15.0,2.0,13.0,5.0,0.0,0.0,Feuil1
2024.0,الصخيرة,35.0,10.0,20.0,3.0,5.0,5.0,0.0,0.0,Feuil1
2024.0,الغريبة,15.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,Feuil1
2024.0,المحرس,40.0,5.0,15.0,1.0,4.0,5.0,0.0,2.0,Feuil1
2024.0,طينة,5.0,3.0,120.0,1.0,0.0,2.0,0.0,0.0,Feuil1
,,,,,,,,,,Feuil1
,,,,,,,,,,Feuil1
