المعتمديــة,زيتون_2017,زيتون_2018,زيتون_2019,زيتون_2020,زيتون_2021,لوز_2017,لوز_2018,لوز_2019,لوز_2020,لوز_2021,مختلفات_2017,مختلفات_2018,مختلفات_2019,مختلفات_2020,مختلفات_2021,feuille
,2017,2018.0,2019,2020,2021,2017.0,2018.0,2019.0,2020.0,2021.0,2017.0,2018.0,2019,2020.0,2021.0,Feuil1
صفاقس الجنوبية,240,1471.2,1900,3250,93,720.0,1260.0,1228.752,823.2638400000001,1448.5508485,388.5,299.1497245868803,380,400.0,314.96123064,Feuil1
طينة,376,2304.88,1550,5680,1080,17.0,29.75,29.0122,20.0,12.012372890000002,126.0,97.02153229844767,115,120.0,82.48984612,Feuil1
ساقية الزيت,280,1716.3999999999999,510,3200,60,360.0,630.0,614.376,413.0,367.43728840000006,126.0,97.02153229844767,115,120.0,82.48984612,Feuil1
ساقية الدائر,320,1961.6,700,3900,60,360.0,630.0,614.376,413.0,395.7016952,126.0,97.02153229844767,120,125.0,82.48984612,Feuil1
جبنيانة,2880,17654.4,1800,25120,270,300.0,525.0,511.97999999999996,343.0266,334.93322058,147.0,113.19178768152227,130,132.6,78.74030766,Feuil1
العامرة,2720,16673.6,900,38200,175,276.0,483.0,471.0216,319.0,322.21423752000004,147.0,113.19178768152227,130,135.0,86.23938457999999,Feuil1
الحنشة,6400,39232.0,1850,55800,400,420.0,735.0,716.7719999999999,480.23724,484.73457662000004,84.0,64.68102153229844,82,90.0,18.7476923,Feuil1
منزل شاكر,16400,100532.0,8300,97500,22310,780.0,1365.0,1331.148,891.86916,1512.1457638000002,630.0,485.1076614922383,630,645.0,562.4307689999999,Feuil1
عقارب,6800,41684.0,1650,15096,5560,900.0,1575.0,1535.9399999999998,1030.0,1055.67559398,525.0,404.2563845768653,505,515.1,434.94646136,Feuil1
المحرس,5840,35800.0,11750,25400,16200,384.0,672.0,655.3344,440.0,375.91661044000006,630.0,485.1076614922383,630,645.0,494.93907671999995,Feuil1
بئر علي,8880,54430.0,8000,23550,14750,780.0,1365.0,1331.148,891.86916,1343.2659331700002,840.0,646.8102153229844,840,860.0,697.4141535599999,Feuil1
الصخيرة,2400,14900.0,4200,7145,9100,420.0,409.584,210.0,140.70000000000002,211.98305100000002,161.7025538307461,211.0,211,218.0,449.9446152,Feuil1
الغربية,2000,12290.0,420,10415,8415,810.25,790.1558,1110.0,745.0,473.4288139,854.7134988196581,1110.0,1110,1140.0,749.907692,Feuil1
قرقنة,464,2850.0,2540,11190,2460,0.0,0.0,1900.0,1273.0,0.0,1463.023106087703,1900.0,1900,1940.0,1957.25907612,Feuil1
المجمــوع,56000,343500.08,46070,325446,80933,6527.25,10469.489800000001,12259.8602,8223.966,8338.000006000002,6248.939158738107,6123.560841261893,6898,7085.7,6092.999997499999,Feuil1
