annee,programme,unite,realisations,realisations_1,feuille
2023,Amélioration des parcours et développement des ressources fourragères et pastorales,,,,Feuil1
2023,*Programme de développement des plantations fourragères,,,,Feuil1
2023,Superficies des parcelles démonstratives pour saison d'automne,ha,4.58,46,Feuil1
2023,Production (saison automne),T,_,_,Feuil1
2023,Superficies des parcelles démonstratives pour saison de printemps,ha,5.65,113,Feuil1
2023,Production (saison printemps),T,636,159,Feuil1
2023,Amélioration des races,,,,Feuil1
2023,*Programme de numérotage d'animaux,,,,Feuil1
2023,Bovins,Tête,8175,91,Feuil1
2023,Petits ruminants,Tête,1200,34,Feuil1
2023,Camélidés,Tête,42,84,Feuil1
2023,*Programme de contrôle de productivité,,,,Feuil1
2023,Laits (bovins),Vache,610,76,Feuil1
2023,Croissance chez les petits ruminants,Tête,2438,49,Feuil1
2023,*Analyse des échantillons de lait,Echantillon,3638,66,Feuil1
2023,*Nombre des rapports délivrés aux bénéficiaires,Rapport,76,63,Feuil1
2023,Programme de reproduction,,,,Feuil1
2023,Nombre de premières doses de vaccination des bovins,Vaccination,4926,70,Feuil1
2023,Totaux des doses de vaccination des bovins,Vaccination,6746,75,Feuil1
2023,* Programme d'appui de petits et moyens éleveurs de bovins,,,,Feuil1
2023,Nombre d'éleveurs encadrés,Eléveurs,3,60,Feuil1
2023,Nombre de vaches laitières,Vache,86,61,Feuil1
2023,* Programme d'appui et d'encadrement de petits et moyens éleveurs de bovins,,,,Feuil1
2023,Nombre de ferme,Ferme,10,100,Feuil1
2023,Nombre de vaches présentes,Vache,530,96,Feuil1
2023,* Programme National du réseau de collecte du lait,,,,Feuil1
2023,Nombre de centre du réseau de collecte,Centre,16,100,Feuil1
2023,Quantité de lait collecté,1000 L,39921,89,Feuil1
2023,Quantité de lait transformé,1001 L,38718,88,Feuil1
2023,Programme d'appui du filière viande,,,,Feuil1
2023,Appui et encadrement intensifié des étables d'engraissement de veaux,,,,Feuil1
2023,Nombre d'étables d'engraissement suivis,Etable,92,115,Feuil1
2023,Nombre de veaux engraissés,Veau,4821,96,Feuil1
2023,Programme d'appui d'élevage d'ovins et de caprins et de camelins,,,,Feuil1
2023,*Programme d'appui des ovins,,,,Feuil1
2023,Nombre de ferme encadré,Ferme,10,125,Feuil1
2023,Nombre de troupeau,Troupeau,24,100,Feuil1
2023,Nombre de tête encadré,Femelle,5239,95,Feuil1
2023,*Surveillance du filière des petits animaux,,,,Feuil1
2023,Nombre de tête de lapin surveillé,Lapine,898,30,Feuil1
