annee,delegation,nom_lac_ou_barrage,nature_ouvrage,zone,annee_construction,capacite_stockage_m3,quantite_remplie_m3,feuille
2021,عقارب,القنة,بحيرة جبلية,القنة,1994,100000,0,Feuil1
2021,عقارب,بولذياب,بحيرة جبلية,بولذياب,1995,30000,0,Feuil1
2021,عقارب,روشانة,بحيرة جبلية,التربة,2004,90000,0,Feuil1
2021,عقارب,زرعة 1,بحيرة جبلية,زرعة,2006,35000,0,Feuil1
2021,عقارب,زرعة 2,بحيرة جبلية,زرعة,2006,30000,0,Feuil1
2021,عقارب,مرزوق,بحيرة جبلية,بولذياب,2007,150000,0,Feuil1
2021,عقارب,مدارج,بحيرة جبلية,بولذياب,2008,90000,0,Feuil1
2021,عقارب,الزروص,بحيرة جبلية,مركز التيجاني,2010,80000,0,Feuil1
2021,عقارب,قرقور,بحيرة جبلية,قرقور,2011,90000,0,Feuil1
2021,بئر علي,الطرفاوي1,بحيرة جبلية,اللطائفة,2007,370000,0,Feuil1
2021,بئر علي,الطرفاوي2,بحيرة جبلية,اللطائفة,2008,240000,0,Feuil1
2021,بئر علي,عبد الله,بحيرة جبلية,الحمام- الشعال,2010,110000,0,Feuil1
2021,بئر علي,وادي الغرفة,بحيرة جبلية,الحمام- الشعال,2012,160000,0,Feuil1
2021,الصخيرة,مغذية1,بحيرة جبلية,المغذية,1998,40000,0,Feuil1
2021,الصخيرة,مغذية2,بحيرة جبلية,المغذية,2000,40000,0,Feuil1
2021,منزل شاكر,العقاير,بحيرة جبلية,العقاير,2009,75000,0,Feuil1
2021,صفاقس الغربية,قبرش,بحيرة جبلية,قبرش,2001,170000,0,Feuil1
2021,الحنشة,بئر الشعبة,بحيرة جبلية,بئر الشعبة,2003,60000,0,Feuil1
2021,المحرس,الجبس,بحيرة جبلية,الشفار,2009,140000,0,Feuil1
2021,صفاقس الجنوبية,سيدي عبد الكافي,بحيرة جبلية,سيدي عبد الكافي,2009,50000,0,Feuil1
2021,المحرس,الشفار,سد تلي,الشفار,2015,2700000,500000,Feuil1
2021,صفاقس الجنوبية,سيدي صالح,سد تلي,سيدي عبد الكافي,2015,2000000,700000,Feuil1
