annee,theme,nature_intervention,homme,femme,feuille,themes,nombre_beneficiaires_participants,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8
2024.0,الأشجار المثمرة,Nombre jours d'information,189.0,37.0,data,,,,,,,,
2024.0,زراعة الخضروات,Nombre jours d'information,29.0,0.0,data,,,,,,,,
2024.0,الزراعات الكبرى والأعلاف,Nombre jours d'information,36.0,0.0,data,,,,,,,,
2024.0,تربية الماشية (أغنام، حيوانات مرفقة),Nombre jours d'information,158.0,7.0,data,,,,,,,,
2024.0,المراعي والغابات,Nombre jours d'information,8.0,0.0,data,,,,,,,,
2024.0,هياكل الدعم,Nombre jours d'information,2.0,89.0,data,,,,,,,,
2024.0,تنمية قطاع الزياتين,Nombre jours d'information,88.0,29.0,data,,,,,,,,
2024.0,الفلاحة البيولوجية,Nombre jours d'information,69.0,0.0,data,,,,,,,,
2024.0,تحسين التقنيات الزراعية تحت البيوت الحامية,Nombre jours d'information,0.0,0.0,data,,,,,,,,
2024.0,تنمية اللحوم والألبان,Nombre jours d'information,0.0,0.0,data,,,,,,,,
2024.0,الهندسة ريفية (مناطق سقوية - الاقتصاد في مياه الري - ميكنة),Nombre jours d'information,54.0,1.0,data,,,,,,,,
2024.0,الزراعات العلفية,Nombre jours d'information,59.0,0.0,data,,,,,,,,
2024.0,الأشجار المثمرة,Nombre séances d'application,47.0,2.0,data,,,,,,,,
2024.0,زراعة الخضروات,Nombre séances d'application,31.0,0.0,data,,,,,,,,
2024.0,الزراعات الكبرى والأعلاف,Nombre séances d'application,6.0,0.0,data,,,,,,,,
2024.0,تربية الماشية (أغنام، حيوانات مرفقة),Nombre séances d'application,0.0,0.0,data,,,,,,,,
2024.0,المراعي والغابات,Nombre séances d'application,0.0,0.0,data,,,,,,,,
2024.0,هياكل الدعم,Nombre séances d'application,0.0,0.0,data,,,,,,,,
2024.0,تنمية قطاع الزياتين,Nombre séances d'application,0.0,0.0,data,,,,,,,,
2024.0,الفلاحة البيولوجية,Nombre séances d'application,12.0,0.0,data,,,,,,,,
