delegation,moyenne_annuelle_mm,pluviometrie_enregistree_mm,pourcentage,feuille
صفاقس المدينة,241.1,192.0,79.6,Feuil1
عقارب,205.0,234.0,114.1,Feuil1
بئر علي,186.1,165.0,88.7,Feuil1
المحرس,197.9,163.0,82.4,Feuil1
الغريبة,154.3,79.0,51.2,Feuil1
الصخيرة,175.0,90.5,51.7,Feuil1
قرقنة (الرملة),243.8,53.0,21.5,Feuil1
العامرة,215.6,265.0,123.0,Feuil1
منزل شاكر,193.5,215.0,111.0,Feuil1
جبناينة,232.0,318.0,137.0,Feuil1
الحنشة,278.7,189.0,103.7,Feuil1
ساقية الزيت,213.7,169.5,79.3,Feuil1
ساقية الدائر,213.7,200.0,93.6,Feuil1
طينة,202.1,145.5,72.0,Feuil1
صفاقس الجنوبية (المطار),241.1,171.1,71.0,Feuil1
