delegation,aquaculture,peche_cotiere,peche_chalut,peche_poisson_bleu,peche_eponge,peche_palourde,annee,feuille
Sfax,7.1,978,5147,9,0,0,2021.0,Feuil1
Kerkennah,0.0,6803,0,0,0,0,,Feuil1
Mahrès,0.0,685,0,413,0,0,,Feuil1
Ellouza,0.0,1203,0,0,0,0,,Feuil1
Sidi Mansour,0.0,277,0,0,0,0,,Feuil1
Skhira,0.0,285,0,137,0,0,,Feuil1
Awabed,0.0,99,0,0,0,0,,Feuil1
Zabboussa,0.0,7,0,0,0,0,,Feuil1
Sfax,4.86,728,5048,13,0,0,2022.0,Feuil1
Kerkennah,0.0,4920,0,0,0,0,,Feuil1
Mahrès,0.0,781,0,313,0,0,,Feuil1
Ellouza,0.0,1113,0,0,0,0,,Feuil1
Sidi Mansour,0.0,204,0,0,0,0,,Feuil1
Skhira,0.0,360,0,181,0,0,,Feuil1
Awabed,0.0,96,0,0,0,0,,Feuil1
Zabboussa,0.0,0,0,0,0,0,,Feuil1
