السنة,المنتجات,الكمية_الموردة_طن,feuille
2021,غذاء للأسماك المرباة,200.0,Feuil1
2021,غلال البحر ومختلفات,222.0,Feuil1
2021,أسماك طازجة,0.05,Feuil1
2021,أسماك مبردة,693.0,Feuil1
2021,أسماك مجمدة,33909.0,Feuil1
2021,أسماك وشرائح أسماك مملحة,158.0,Feuil1
2021,منتجات بحرية محولة,53.0,Feuil1
2021,كلمار مجمد,27.0,Feuil1
2021,أخطبوط مجمد,11.0,Feuil1
2021,قشريات مجمدة,178.0,Feuil1
2022,غذاء للأسماك المرباة,4325.0,Feuil1
2022,غلال البحر ومختلفات,663.0,Feuil1
2022,أسماك طازجة,0.65,Feuil1
2022,أسماك مبردة,254.0,Feuil1
2022,أسماك مجمدة,27871.0,Feuil1
2022,أسماك وشرائح أسماك مملحة,115.0,Feuil1
2022,منتجات بحرية محولة,149.0,Feuil1
2022,كلمار مجمد,70.0,Feuil1
2022,أخطبوط مجمد,7.0,Feuil1
2022,قشريات مجمدة,109.0,Feuil1
