annee,produits_peche_exportes,quantite_exportee_tonne,feuille
2021,Crevettes,2506.0,Feuil1
2021,Seiches,1537.0,Feuil1
2021,Poulpes,648.0,Feuil1
2021,Petit_poulpes,198.0,Feuil1
2021,Poissons,19.3,Feuil1
2021,Calmars,5.73,Feuil1
2021,Crabes,4259.0,Feuil1
2021,Sardines,47.7,Feuil1
2021,Eponges,2.78,Feuil1
2021,Cigales,1.21,Feuil1
2021,Langoustines,0.0,Feuil1
2021,Conserves de thon,0.0,Feuil1
2022,Crevettes,2171.77,Feuil1
2022,Seiches,2058.5,Feuil1
2022,Poulpes,573.18,Feuil1
2022,Petit_poulpes,209.74,Feuil1
2022,Poissons,32.07,Feuil1
2022,Calmars,91.65,Feuil1
2022,Crabes,5551.86,Feuil1
2022,Sardines,45.95,Feuil1
2022,Eponges,4.15,Feuil1
2022,Cigales,6.17,Feuil1
2022,Langoustines,0.0,Feuil1
2022,Conserves de thon,326.8,Feuil1
2023,Crevettes,1755.39,Feuil1
2023,Seiches,1553.01,Feuil1
2023,Poulpes,388.37,Feuil1
2023,Petit_poulpes,196.74,Feuil1
2023,Poissons,8.38,Feuil1
2023,Calmars,81.613,Feuil1
2023,Crabes,4290.95,Feuil1
2023,Sardines,75.26,Feuil1
2023,Eponges,6.81,Feuil1
2023,Cigales,4.23,Feuil1
2023,Langoustines,5.56,Feuil1
2023,Conserves de thon,149.76,Feuil1
2024,Crevettes,1265.68,Feuil1
2024,Seiches,1068.44,Feuil1
2024,Poulpes,208.6,Feuil1
2024,Petit_poulpes,83.56,Feuil1
2024,Poissons,1.66,Feuil1
2024,Calmars,58.62,Feuil1
2024,Crabes,3876.89,Feuil1
2024,Sardines,97.28,Feuil1
2024,Eponges,3.41,Feuil1
2024,Cigales,7.31,Feuil1
2024,Langoustines,6.55,Feuil1
2024,Conserves de thon,128.1,Feuil1
