المعتمديــة,لحوم_حمراء_طن_2018,لحوم_حمراء_طن_2019,لحوم_حمراء_طن_2020,لحوم_بيضاء_طن_2018,لحوم_بيضاء_طن_2019,لحوم_بيضاء_طن_2020,حليب_طن_2018,حليب_طن_2019,حليب_طن_2020,صوف_طن_2018,صوف_طن_2019,صوف_طن_2020,بيض_مليون_بيضة_2018,بيض_مليون_بيضة_2019,بيض_مليون_بيضة_2020,عسل_طن_2018,عسل_طن_2019,عسل_طن_2020,feuille
صفاقس الجنوبية,295,310.0,350,4020,4466,4466,4780,4851.7,5410,5.8,5.8,5.8,330.0,372.9,317,0.0,0.0,0.0,الإنتاج الحيواني
طينـــــة,634,668.236,700,1180,1311,1311,9037,9176.0,10230,4.4,4.4,4.4,38.0,42.94,36,0.1,0.1,0.1,الإنتاج الحيواني
صفاقس الغربية,15,15.81,20,0,0,0,163,165.445,185,0.5,0.5,0.5,0.0,0.0,0,0.2,0.2,0.2,الإنتاج الحيواني
جبنيانة,780,822.12,850,710,789,789,16474,16721.109999999997,18657,17.5,17.5,17.5,22.0,24.86,21,0.8,0.8,0.8,الإنتاج الحيواني
قرقنة,48,50.0,55,47,52,52,244,250.0,278,7.0,7.0,7.0,2.5,2.8249999999999997,3,0.03,0.03,0.03,الإنتاج الحيواني
بئر علي,604,636.616,660,2030,2255,2255,1540,1563.1,1750,61.5,61.5,81.5,5.0,5.6499999999999995,5,1.2,1.2,1.2,الإنتاج الحيواني
عقارب,390,411.06,420,650,722,722,2417,2453.2549999999997,2735,28.0,28.0,28.0,7.5,8.475,7,1.3,1.3,1.3,الإنتاج الحيواني
المحرس,438,461.65200000000004,500,710,789,789,3307,3356.6049999999996,3743,14.0,14.0,14.0,87.5,98.87499999999999,85,0.6,0.6,0.6,الإنتاج الحيواني
الغريبة,146,153.88400000000001,170,0,0,0,0,0.0,0,26.0,26.0,36.0,0.0,0.0,0,2.5,2.5,2.5,الإنتاج الحيواني
الصخيرة,585,616.59,650,13,14,14,93,95.0,105,78.0,78.0,88.0,0.0,0.0,0,0.0,0.0,0.0,الإنتاج الحيواني
منزل شاكر,876,923.3040000000001,995,710,790,790,7363,7473.445,8332,62.0,62.0,72.0,30.0,33.9,28,0.0,0.0,0.0,الإنتاج الحيواني
الحنشة,292,307.76800000000003,330,940,1054,1054,2712,2752.68,3070,26.0,26.0,26.0,14.0,15.819999999999999,13,1.1,1.1,1.1,الإنتاج الحيواني
العامرة,438,461.65200000000004,550,2450,2722,2722,8628,8760.0,9730,12.3,12.3,12.3,47.5,53.675,46,0.7,0.7,0.7,الإنتاج الحيواني
ساقية الدائر,244,257.176,300,3594,3993,3993,2820,2862.2999999999997,3195,3.5,3.5,3.5,208.0,235.03999999999996,205,0.3,0.3,0.3,الإنتاج الحيواني
ساقية الزيت,65,68.51,100,946,1051,1051,512,519.68,580,3.5,3.5,3.5,208.0,235.03999999999996,204,0.2,0.2,0.2,الإنتاج الحيواني
