annee,ctv,nombre_jours_dinformation,nombre_seances_application,nombre_beneficiaires_intervention_sur_champs,nombre_beneficiaires_parcelle_pilote,feuille
2024,خلية الإرشاد الفلاحي بعقارب,18,14,1194,0,Feuil1
2024,خلية الإرشاد الفلاحي ببئرعلي,0,0,476,0,Feuil1
2024,خلية الإرشاد الفلاحي بجبنيانة,3,0,549,0,Feuil1
2024,خلية الإرشاد الفلاحي بالحنشة,10,1,1040,1,Feuil1
2024,خلية الإرشاد الفلاحي بالمحرس,4,0,2417,0,Feuil1
2024,خلية الإرشاد الفلاحي بمنزل شاكر,1,0,165,0,Feuil1
2024,خلية الإرشاد الفلاحي بالصخيرة,3,0,1771,0,Feuil1
2024,خلية الإرشاد الفلاحي بصفاقس,2,0,256,0,Feuil1
2024,خلية الإرشاد الفلاحي بالغريبة,6,0,274,0,Feuil1
2024,خلية الإرشاد الفلاحي بالعامرة,4,0,577,0,Feuil1
2024,خلية الإرشاد الفلاحي بقرقنة,10,1,1386,0,Feuil1
