المعتمديــة,مراكز_التجميع_2018,مراكز_التجميع_2019,مراكز_التجميع_2020,طاقة_التبريد_لتر_يوم_2018,طاقة_التبريد_لتر_يوم_2019,طاقة_التبريد_لتر_يوم_2020,الكمية_المجمعة_طن_2018,الكمية_المجمعة_طن_2019,الكمية_المجمعة_طن_2020,الكمية_الموجهة_للتصنيع_طن_2018,الكمية_الموجهة_للتصنيع_طن_2019,الكمية_الموجهة_للتصنيع_طن_2020,feuille
طينــــــة,1,1,1,22200,22200,22200,3537,2636,3020.725,3353,3311.0507317073175,3890,Feuil1 (2)
المحرس,2,2,2,10040,10040,0,1146,198,0.0,1146,530.0,0,Feuil1 (2)
بئر علي,2,2,2,10000,10000,10000,1512,1390,1386.75,1512,1290.0,1496,Feuil1 (2)
الغريبة,0,0,0,0,0,0,0,0,0.0,0,0.0,0,Feuil1 (2)
قرقنة,0,0,0,0,0,0,0,0,0.0,0,0.0,0,Feuil1 (2)
منزل شاكر,3,3,3,48000,48000,40000,6736,7886,8030.575,6736,7400.0,8011,Feuil1 (2)
الحنشة,1,1,1,20000,20000,20000,5805,6126,6497.256,5805,5780.0,6491,Feuil1 (2)
ساقية الدائر,2,2,2,26000,26000,26000,5918,6024,6121.623,5918,5690.0,6121,Feuil1 (2)
جبنيانة,3,3,3,41000,41000,41000,10506,14240,14941.521,10506,12940.0,14582,Feuil1 (2)
العامرة,3,3,3,35000,35000,35000,11251,13839,15902.848,11251,12900.0,14646,Feuil1 (2)
صفاقس الجنوبية,1,1,1,17000,17000,17000,3972,1378,1933.601,3972,1296.0,1933,Feuil1 (2)
عقارب,0,0,0,0,0,0,0,0,0.0,0,0.0,0,Feuil1 (2)
الصخيرة,0,0,0,0,0,0,0,0,0.0,0,0.0,0,Feuil1 (2)
