annee,type_activite_peche,nombre_total_permis_renouveles,feuille
2021,صيد ساحلي بالمحرك,1162,Feuil1
2021,صيد ساحلي بالشراع,984,Feuil1
2021,صيد بالجر القاعي,184,Feuil1
2021,صيد بالسمك الأزرق بدون أضواء /بالأضواء,17,Feuil1
2021,صيد التن الأحمر,20,Feuil1
2021,صيد ترفيهي بالمركب,5,Feuil1
2021,صيد ترفيهي بالغطس,3,Feuil1
2022,صيد ساحلي بالمحرك,1112,Feuil1
2022,صيد ساحلي بالشراع,635,Feuil1
2022,صيد بالجر القاعي,163,Feuil1
2022,صيد بالسمك الأزرق بدون أضواء /بالأضواء,15,Feuil1
2022,صيد التن الأحمر,23,Feuil1
2022,صيد ترفيهي بالمركب,4,Feuil1
2022,صيد ترفيهي بالغطس,11,Feuil1
2023,صيد ساحلي بالمحرك,926,Feuil1
2023,صيد ساحلي بالشراع,641,Feuil1
2023,صيد بالجر القاعي,140,Feuil1
2023,صيد بالسمك الأزرق بدون أضواء /بالأضواء,26,Feuil1
2023,صيد التن الأحمر,24,Feuil1
2023,صيد ترفيهي بالمركب,6,Feuil1
2023,صيد ترفيهي بالغطس,16,Feuil1
2024,صيد ساحلي بالمحرك,1024,Feuil1
2024,صيد ساحلي بالشراع,770,Feuil1
2024,صيد بالجر القاعي,141,Feuil1
2024,صيد بالسمك الأزرق بدون أضواء /بالأضواء,20,Feuil1
2024,صيد التن الأحمر,21,Feuil1
2024,صيد ترفيهي بالمركب,0,Feuil1
2024,صيد ترفيهي بالغطس,1,Feuil1
