unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,feuille,توزيع_الموارد_المايية_حسب_المايدة_المتوسطة,unnamed_11,unnamed_12,unnamed_13,unnamed_17,unnamed_18,unnamed_19,unnamed_20,المعتمديــة,اسم_المايدة,عدد_الابار_المجهزة_2017,عدد_الابار_المجهزة_2018,عدد_الابار_المجهزة_2019,عدد_الابار_المجهزة_2020,عدد_الابار_الغير_مجهزة_2017,عدد_الابار_الغير_مجهزة_2018,عدد_الابار_الغير_مجهزة_2019,عدد_الابار_الغير_مجهزة_2020,المجموع_2017,المجموع_2018,المجموع_2019,المجموع_2020,الموارد_2017م_م3,الموارد_2018م_م3,الموارد_2019م_م3,الموارد_2020م_م3,الاستغلال_2017_م_م_3,الاستغلال_2018_م_م_3,الاستغلال_2019_م_م_3,الاستغلال_2020_م_م_3
توزيع البحيرات الجبلية حسب المعتمدية,,,,,,,,,,البحيرات 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,البحيرات 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Année:2020,,البحيرات 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
المعتمديـــة,عدد البحيرات,,,طاقة الخزن (ألف م3),,,الكمية المعبئة (ألف م3),,,البحيرات 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019.0,2020.0,2018,2019.0,2020.0,2018,2019,2020.0,البحيرات 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عقارب,9,9.0,9.0,966,960.0,695.0,0,95,260.0,البحيرات 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الصخيرة,2,2.0,2.0,100,100.0,80.0,0,0,20.0,البحيرات 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الحنشة,1,1.0,1.0,110,110.0,60.0,0,20,30.0,البحيرات 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
صفاقس الغربية,1,1.0,1.0,200,200.0,170.0,0,0,40.0,البحيرات 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
صفاقس الجنوبية,1,1.0,1.0,120,120.0,50.0,0,10,30.0,البحيرات 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
بئر علي بن خليفة,4,4.0,4.0,1100,1100.0,880.0,0,55,290.0,البحيرات 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
المحرس,1,1.0,1.0,180,180.0,140.0,0,15,50.0,البحيرات 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
منزل شاكر,1,1.0,1.0,150,70.0,75.0,100,20,40.0,البحيرات 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
المجمـــــــوع,20,20.0,20.0,2926,2840.0,2150.0,100,215,760.0,البحيرات 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
المصدر: المندوبية الجهوية للتنمية الفلاحية,,,,,,,,,,البحيرات 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,الموائد المتوسطة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,الموائد المتوسطة,,,,,,,Année: 2020,,,,,,,,,,,,,,,,,,,,,,,
عدد الآبـــــار,,,,,,,,,,الموائد المتوسطة,المعتمديــة,,,الموارد (م م3 ),الاستغلال (م م3 ),,,,,,,,,,,,,,,,,,,,,,,,,
المجهزة,,,,الغير مجهزة,,,,المجموع,,الموائد المتوسطة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2018.0,2019.0,2020.0,2017,2018.0,2019.0,2020.0,2017,2018.0,الموائد المتوسطة,,2019.0,2020.0,2017,2017,2018.0,2019,2020.0,,,,,,,,,,,,,,,,,,,,,,
12,14.0,15.0,17.0,2,3.0,5.0,6.0,14,17.0,الموائد المتوسطة,صفاقس  الجنوبية,20.0,23.0,,0.083493,0.0901,0.0954,0.11495,,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,الموائد المتوسطة,صفاقس الغربية,0.0,0.0,,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,الموائد المتوسطة,ساقية الزيت,0.0,1.0,,0,0.0,0,0.01296,,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,الموائد المتوسطة,قرقنة,0.0,0.0,,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
0,0.0,2.0,4.0,0,0.0,2.0,0.0,0,0.0,الموائد المتوسطة,العامرة,4.0,4.0,,0,0.0,0.0125,0.040224,,,,,,,,,,,,,,,,,,,,,,
2,2.0,2.0,2.0,0,0.0,1.0,1.0,2,2.0,الموائد المتوسطة,جبنيانة,3.0,3.0,,0.013825,0.0142,0.0142,0.013659,,,,,,,,,,,,,,,,,,,,,,
6,8.0,9.0,15.0,2,4.0,13.0,10.0,8,12.0,الموائد المتوسطة,الحنشة,22.0,25.0,,0.179908,0.2136,0.218,0.283776,,,,,,,,,,,,,,,,,,,,,,
98,125.0,149.0,168.0,25,34.0,46.0,51.0,123,159.0,الموائد المتوسطة,منزل شاكر,195.0,219.0,,3.814956,4.349,4.6506,4.713779,,,,,,,,,,,,,,,,,,,,,,
