annee,cultures,superficie_cultivee_mode_biologique_ha,feuille
2021,Oliviers,42788.0,Feuil1
2021,Amandiers,759.0,Feuil1
2021,Autres arbres fruitiers,9.5,Feuil1
2021,Plantes aromatiques et médicinales,2.0,Feuil1
2021,Figuier de barbarie,0.5,Feuil1
2021,Cutltures maraîchères,1.5,Feuil1
2021,Parcours naturels,20305.0,Feuil1
2021,Forêts,7.0,Feuil1
2021,Autres cultures,44.0,Feuil1
2022,Oliviers,43910.0,Feuil1
2022,Amandiers,763.0,Feuil1
2022,Autres arbres fruitiers,13.5,Feuil1
2022,Plantes aromatiques et médicinales,2.5,Feuil1
2022,Non-labourables,489.0,Feuil1
2022,Cutltures maraîchères,1.7,Feuil1
2022,Parcours naturels,19830.0,Feuil1
2022,Forêts,4.3,Feuil1
2022,Autres cultures,40.0,Feuil1
2023,Oliviers,44820.0,Feuil1
2023,Amandiers,385.0,Feuil1
2023,Autres arbres fruitiers,12.3,Feuil1
2023,Plantes aromatiques et médicinales,2.0,Feuil1
2023,Non-labourables,485.0,Feuil1
2023,Cutltures maraîchères,1.5,Feuil1
2023,Parcours naturels,19388.0,Feuil1
2023,Forêts,4.3,Feuil1
2023,Autres cultures,39.1,Feuil1
2024,Oliviers,44259.0,Feuil1
2024,Amandiers,407.0,Feuil1
2024,Pistachiers,6.0,Feuil1
2024,Grenadiers,20.0,Feuil1
2024,Autres arbres fruitiers,2.0,Feuil1
2024,Plantes aromatiques et médicinales,0.023,Feuil1
2024,Figuier de barbarie,15.0,Feuil1
2024,Non-labourables,470.0,Feuil1
2024,Cutltures maraîchères,0.3,Feuil1
2024,Parcours naturels,18663.0,Feuil1
