المعتمدية,ابقار_راس_انثى_2018,ابقار_راس_انثى_2019,ابقار_راس_انثى_2020,اغنام_راس_انثى_2018,اغنام_راس_انثى_2019,اغنام_راس_انثى_2020,ماعز_راس_انثى_2018,ماعز_راس_انثى_2019,ماعز_راس_انثى_2020,ابــل_راس_انثى_2018,ابــل_راس_انثى_2019,ابــل_راس_انثى_2020,دواجن_بالالف_وحدة_لحم_2018,دواجن_بالالف_وحدة_لحم_2019,دواجن_بالالف_وحدة_لحم_2020,دواجن_بالالف_وحدة_بيض_2018,دواجن_بالالف_وحدة_بيض_2019,دواجن_بالالف_وحدة_بيض_2020,دواجن_بالالف_وحدة_ديك_رومي,دواجن_بالالف_وحدة_ديك_رومي_1,دواجن_بالالف_وحدة_ديك_رومي_2,ارانب_وحدة_2018,ارانب_وحدة_2019,ارانب_وحدة_2020,نحل_جبح_2018,نحل_جبح_2019,نحل_جبح_2020,feuille
صفاقس الجنوبية,1280,1350.0,1300,3300,3660.0,3500,280,252,250,5,5,5,2728,2782,2782,1367,1394,1394,0,0,0,600,600,300,0,0,0,Feuil1 (2)
صفاقس الغربية,33,34.65,40,200,220.0,250,180,162,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,Feuil1 (2)
طينـــــة,2530,2660.0,2650,2500,2770.0,3500,500,450,520,10,10,10,154,157,157,340,347,347,0,0,0,1100,1100,600,30,30,30,Feuil1 (2)
جبنيانة,2760,2900.0,2800,10000,11100.000000000002,12000,1400,1260,1500,20,20,20,220,224,224,300,306,306,0,0,0,450,450,200,120,120,120,Feuil1 (2)
قرقنة,25,30.0,35,4000,4440.0,6200,300,270,350,0,0,0,0,0,0,17,18,18,0,0,0,70,70,40,5,5,5,Feuil1 (2)
بئر علي,420,450.0,400,35000,38850.0,39000,3900,3510,3550,90,90,90,40,41,41,780,795,795,0,0,0,0,0,0,180,180,180,Feuil1 (2)
عقارب,500,525.0,530,16000,17760.0,19500,1600,1440,1700,25,25,25,28,29,29,244,250,250,870,870,870,850,850,400,200,200,200,Feuil1 (2)
المحرس,840,882.0,850,8000,8880.0,9500,1300,1170,1400,10,10,10,973,992,992,170,174,174,36,36,36,500,500,250,90,90,90,Feuil1 (2)
الغريبة,0,0.0,0,15000,16650.0,17500,1900,1710,2100,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,380,380,380,Feuil1 (2)
الصخيرة,42,45.0,45,45000,49950.00000000001,50100,6240,5616,6760,80,80,80,0,0,0,7,10,10,0,0,0,0,0,0,0,0,0,Feuil1 (2)
منزل شاكر,1850,1942.5,2000,35000,38850.0,39000,2600,2340,2800,10,10,10,260,265,265,300,306,306,0,0,0,800,800,400,0,0,0,Feuil1 (2)
الحنشة,1100,1155.0,1150,15000,16650.0,16540,1500,1350,1700,70,70,70,67,69,69,360,667,667,0,0,0,0,0,0,170,170,170,Feuil1 (2)
العامرة,1000,1050.0,1100,7000,7770.000000000001,8050,800,720,720,10,10,10,150,153,153,705,720,720,0,0,0,200,200,100,100,100,100,Feuil1 (2)
ساقية الدائر,840,882.0,850,2000,2220.0,2560,200,180,180,5,5,5,1700,1734,1734,990,1000,1000,66,66,66,300,300,150,40,40,40,Feuil1 (2)
ساقية الزيت,280,294.0,250,2000,2220.0,2800,300,270,270,4,4,4,2540,2590,2590,320,326,326,0,0,0,130,130,60,30,30,30,Feuil1 (2)
