date,qte_tonne_sfax,px_min_sfax,px_max_sfax,qte_tonne_centre,px_min_centre,px_max_centre,qte_tonne_sahel,px_min_sahel,px_max_sahel,qte_tonne_nord,px_min_nord,px_max_nord,qte_tonne_sud,px_min_sud,px_max_sud,qte_tone_cumul,px_min_cumul,px_max_cumul,px_freq,feuille
2019-12-01,61,900,1200,23,850,1180,24,850,1050,18.0,850.0,1200.0,,,,126,850.0,1200.0,,Données
2019-12-02,90,850,1200,57,800,1150,27,850,1050,18.0,900.0,1200.0,3.0,980.0,980.0,195,800.0,1200.0,,Données
2019-12-03,134,850,1200,30,850,1150,29,900,1050,15.0,900.0,1260.0,3.0,950.0,950.0,211,850.0,1260.0,,Données
2019-12-04,69,850,1100,33,850,1200,23,850,1000,11.0,1000.0,1260.0,2.0,850.0,850.0,138,850.0,1260.0,,Données
2019-12-05,32,900,1100,23,850,1200,18,800,1100,14.0,920.0,1260.0,5.0,920.0,1000.0,92,800.0,1260.0,,Données
2019-12-06,54,820,1100,12,850,1100,24,900,1000,12.0,900.0,1260.0,5.0,1000.0,1050.0,107,820.0,1260.0,,Données
2019-12-07,45,900,1200,21,900,1150,30,850,1070,18.0,850.0,1260.0,3.0,950.0,1050.0,117,850.0,1260.0,,Données
2019-12-08,63,800,1150,30,850,1170,27,850,1050,24.0,850.0,1250.0,3.0,900.0,1050.0,147,800.0,1250.0,,Données
2019-12-09,78,800,1100,30,850,1100,30,950,1000,12.0,800.0,1200.0,3.0,1050.0,1050.0,153,800.0,1200.0,900-1050,Données
2019-12-10,60,850,1150,27,900,1150,33,850,1050,21.0,800.0,1200.0,,,,141,800.0,1200.0,,Données
2019-12-11,56,800,1150,29,900,1150,23,900,1050,9.0,800.0,1200.0,8.0,850.0,1080.0,125,800.0,1200.0,,Données
2019-12-12,65,850,1100,27,940,1170,24,850,1050,6.0,1220.0,1220.0,,,,122,850.0,1220.0,,Données
2019-12-13,51,900,1100,26,850,1100,27,900,1040,12.0,820.0,1200.0,,,,116,820.0,1200.0,,Données
2019-12-14,42,800,1020,24,800,1100,30,850,1000,14.0,800.0,1200.0,9.0,870.0,1080.0,119,800.0,1200.0,,Données
2019-12-15,45,750,1000,15,750,1050,21,800,900,9.0,800.0,1150.0,3.0,900.0,1050.0,93,750.0,1150.0,850-950,Données
2019-12-16,48,800,1050,45,800,1100,15,820,950,21.0,770.0,1170.0,3.0,920.0,920.0,132,770.0,1170.0,900-1000,Données
2019-12-17,63,800,1050,35,800,1070,20,850,950,18.0,800.0,1160.0,,,,136,800.0,1160.0,,Données
2019-12-18,90,800,1050,30,850,1070,15,920,1000,24.0,800.0,1120.0,,,,159,800.0,1120.0,,Données
2019-12-19,48,800,1000,24,800,1050,12,800,950,19.0,800.0,1050.0,2.0,900.0,900.0,105,800.0,1050.0,,Données
2019-12-20,57,800,1050,21,850,1060,17,800,950,24.0,1000.0,1100.0,2.0,800.0,800.0,121,800.0,1100.0,,Données
2019-12-21,45,850,1000,36,820,1020,12,850,900,18.0,900.0,1050.0,3.0,850.0,900.0,114,820.0,1050.0,850-950,Données
2019-12-22,81,810,1050,48,850,1070,18,900,1050,15.0,950.0,1050.0,,,,162,810.0,1070.0,900-1000,Données
2019-12-23,51,850,1100,42,870,1100,27,900,1030,12.0,900.0,1070.0,5.0,800.0,940.0,137,800.0,1100.0,920-1020,Données
2019-12-24,83,850,1120,52,870,1150,15,900,1000,10.0,900.0,1100.0,,,,160,,,,Données
2019-12-25,95,850,1100,38,900,1150,18,900,1050,11.0,1000.0,1070.0,5.0,800.0,900.0,167,,,,Données
2019-12-26,74,850,1100,45,800,1000,18,800,950,12.0,950.0,1020.0,5.0,800.0,900.0,157,,,,Données
2019-12-27,60,800,1070,50,820,1020,4,900,980,11.0,1050.0,1050.0,6.0,820.0,820.0,131,,,,Données
2019-12-28,45,900,1050,42,890,1050,3,820,820,,,,,,,105,,,,Données
2019-12-29,63,800,1060,60,850,1050,12,850,960,9.0,900.0,1050.0,5.0,850.0,850.0,149,,,,Données
2019-12-30,54,750,1020,48,770,1000,24,800,950,12.0,850.0,1000.0,6.0,800.0,820.0,114,,,,Données
2019-12-31,35,800,1050,38,850,1020,15,900,1000,,,,,,,88,,,,Données
