معتمدية,زيتون_2017,زيتون2018,زيتون_2019,زيتون2020,لوز2017,لوز2018,لوز2019,لوز2020,مختلفات2017,مختلفات2018,مختلفات2019,مختلفات2020,feuille
صفاقس الجنوبية,240,1471.2,1900,3250,720.0,1260.0,1228.752,823.2638400000001,388.5,299.1497245868803,380,400.0,Feuil1
طينة,376,2304.88,1550,5680,17.0,29.75,29.0122,20.0,126.0,97.02153229844767,115,120.0,Feuil1
ساقية الزيت,280,1716.3999999999999,510,3200,360.0,630.0,614.376,413.0,126.0,97.02153229844767,115,120.0,Feuil1
ساقية الدائر,320,1961.6,700,3900,360.0,630.0,614.376,413.0,126.0,97.02153229844767,120,125.0,Feuil1
جبنيانة,2880,17654.4,1800,25120,300.0,525.0,511.97999999999996,343.0266,147.0,113.19178768152227,130,132.6,Feuil1
العامرة,2720,16673.6,900,38200,276.0,483.0,471.0216,319.0,147.0,113.19178768152227,130,135.0,Feuil1
الحنشة,6400,39232.0,1850,55800,420.0,735.0,716.7719999999999,480.23724,84.0,64.68102153229844,82,90.0,Feuil1
منزل شاكر,16400,100532.0,8300,97500,780.0,1365.0,1331.148,891.86916,630.0,485.1076614922383,630,645.0,Feuil1
عقارب,6800,41684.0,1650,15096,900.0,1575.0,1535.9399999999998,1030.0,525.0,404.2563845768653,505,515.1,Feuil1
المحرس,5840,35800.0,11750,25400,384.0,672.0,655.3344,440.0,630.0,485.1076614922383,630,645.0,Feuil1
بئر علي,8880,54430.0,8000,23550,780.0,1365.0,1331.148,891.86916,840.0,646.8102153229844,840,860.0,Feuil1
الصخيرة,2400,14900.0,4200,7145,420.0,409.584,210.0,140.70000000000002,161.7025538307461,211.0,211,218.0,Feuil1
الغربية,2000,12290.0,420,10415,810.25,790.1558,1110.0,745.0,854.7134988196581,1110.0,1110,1140.0,Feuil1
قرقنة,464,2850.0,2540,11190,0.0,0.0,1900.0,1273.0,1463.023106087703,1900.0,1900,1940.0,Feuil1
المجمــوع,56000,343500.08,46070,325446,6527.25,10469.489800000001,12259.8602,8223.966,6248.939158738107,6123.560841261893,6898,7085.7,Feuil1
