unnamed_0,عمليات_الاستثمار,منحة,الاستثمار,feuille
صفاقس المدينة,,,,Feuil1
صفاقس الغربية,1.0,3.573,6.497,Feuil1
ساقية الزيت,,,,Feuil1
سلقية الداير,,,,Feuil1
صفاقس الجنوبية,4.0,30.831,56.465,Feuil1
طينة,,,,Feuil1
عقارب,7.0,81.955,163.922,Feuil1
جبنيانة,3.0,35.731,65.419,Feuil1
العامرة,7.0,42.933,82.295,Feuil1
الحنشة,5.0,47.672,86.713,Feuil1
منزل شاكر,8.0,46.769,85.194,Feuil1
الغريبة,4.0,40.465,73.573,Feuil1
بئر علي,6.0,14.415,40.255,Feuil1
الصخيرة,2.0,30.37,60.582,Feuil1
المحرس,2.0,0.0,0.0,Feuil1
قرقنة,3.0,12.447,38.739,Feuil1
الجملة,52.0,387.161,759.654,Feuil1
