معتمدية,زيتون2017,زيتون2018,زيتون2019,زيتون2020,لوز2017,لوز2018,لوز2019,لوز2020,مختلفات2017,مختلفات2018,مختلفات2019,مختلفات2020,feuille
صفاقس الجنوبية,1313,1320.5677233429396,1547,1579,11000,10800,10500,10500,450,420,420,420,Feuil1
طينة,2020,2031.64265129683,6635,6640,100,100,85,85,115,110,110,110,Feuil1
ساقية الزيت,1555,1563.962536023055,1756,1782,2700,2700,2650,2600,115,110,110,110,Feuil1
ساقية الدائر,1858,1868.7089337175794,3531,3448,2900,2900,2850,2800,110,105,105,110,Feuil1
جبنيانة,15791,15882.014409221903,15240,20515,2400,2400,2300,2370,110,105,105,105,Feuil1
العامرة,14372,14454.83573487032,18722,18732,2300,2300,2250,2280,110,105,105,115,Feuil1
الحنشة,34441,34639.507204610956,35463,36921,3500,3500,3400,3430,20,20,19,25,Feuil1
منزل شاكر,112383,113030.74063400578,103735,103724,10500,10500,10300,10700,550,540,730,750,Feuil1
عقارب,35451,35655.32853025937,37950,36542,7500,7500,7450,7470,560,550,550,580,Feuil1
المحرس,31411,31592.04322766571,31328,31342,2700,2700,2650,2660,550,540,640,660,Feuil1
بئر علي,57348,57678.53602305476,59282,57859,9600,9600,9500,9505,830,820,920,930,Feuil1
الصخيرة,16629,16724.84438040346,14412,14731,1600,1600,1500,1500,120,110,600,600,Feuil1
الغربية,19443,19555.06340057637,21580,19756,3400,3400,3300,3350,1000,975,975,995,Feuil1
قرقنة,2985,3002.204610951009,3336,2156,0,0,0,0,1990,1990,2500,2556,Feuil1
المجمــوع,347000,349000.0,354517,355727,60200,60000,58735,59250,6630,6500,7889,8066,Feuil1
