unnamed_0,عمليات_استثمار,قيمة_المنح,قيمة_الاستثمار,feuille
صفاقس المدينة,10.0,24.356,76.193,Feuil1
صفاقس الغربية,2.0,4.758,10.447,Feuil1
ساقية الزيت,,,,Feuil1
ص ش,1.0,5.919,18.848,Feuil1
صفاقس الجنوبية,2.0,28.521,52.265,Feuil1
طينة,1.0,1.32,4.4,Feuil1
عقارب,5.0,71.003,131.085,Feuil1
جبنيانة,6.0,41.164,82.447,Feuil1
العامرة,8.0,46.271,98.414,Feuil1
الحنشة,5.0,47.692,86.713,Feuil1
منزل شاكر,7.0,46.101,83.979,Feuil1
الغريبة,6.0,43.465,83.57,Feuil1
بئر علي,4.0,13.015,37.711,Feuil1
الصخيرة,3.0,32.172,66.588,Feuil1
المحرس,7.0,3.88,11.848,Feuil1
قرقنة,107.0,251.196,794.101,Feuil1
الجملـة,174.0,660.8330000000001,1638.609,Feuil1
