المعتمدية,طماطم_بالطن,فلفل_بالطن,فقوس_بالطن,بطيخ_بالطن,المجموع_طن,feuille
بوزيد الغربية,0.0,3000.0,,,3000,Feuil1
بوزيد الشرقية,0.0,600.0,,,600,Feuil1
المكناسي,0.0,4200.0,,,4200,Feuil1
الرقاب,1200.0,17520.0,,,18720,Feuil1
السعيدة,,,,,0,Feuil1
جلمة,0.0,0.0,,,0,Feuil1
بن عون,0.0,0.0,,,0,Feuil1
المزونة,0.0,2400.0,,,2400,Feuil1
السبالة,0.0,0.0,,,0,Feuil1
أولاد حفوز,0.0,0.0,,,0,Feuil1
بئر الحفي,0.0,0.0,,,0,Feuil1
منزل بوزيان,4500.0,1800.0,720.0,,7020,Feuil1
السوق الجديد,0.0,0.0,,,0,Feuil1
الجملة,5700.0,29520.0,720.0,0.0,35940,Feuil1
