السنة,المعتمدية,طماطم,قرع_بوطزينة,بطيخ,فقوس,فلفل,دلاع,المجموع_هك,feuille
2021,بوزيد الغربية,,,50.0,,,100.0,150,Feuil1
2021,بوزيد الشرقية,,,10.0,,,70.0,80,Feuil1
2021,المكناسي,,,70.0,,,100.0,170,Feuil1
2021,الرقاب,4.0,,700.0,15.0,,500.0,1219,Feuil1
2021,السعيدة,,,105.0,9.0,,100.0,214,Feuil1
2021,جلمة,,,79.0,,,20.0,99,Feuil1
2021,بن عون,,,0.0,,,,0,Feuil1
2021,المزونة,,,37.0,,,,37,Feuil1
2021,السبالة,,,5.0,,,,5,Feuil1
2021,أولاد حفوز,,,150.0,,,100.0,250,Feuil1
2021,بئر الحفي,,,150.0,,,32.0,182,Feuil1
2021,منزل بوزيان,,45.0,100.0,48.0,,50.0,243,Feuil1
2021,السوق الجديد,,,50.0,,,20.0,70,Feuil1
2021,الجملة,4.0,45.0,1506.0,72.0,0.0,1092.0,2719,Feuil1
2022,بوزيد الغربية,,,,,,0.0,0,Feuil1
2022,بوزيد الشرقية,,,,,,0.0,0,Feuil1
2022,المكناسي,,,20.0,,,20.0,40,Feuil1
2022,الرقاب,,,700.0,30.0,,280.0,1010,Feuil1
2022,السعيدة,,,300.0,,,144.0,444,Feuil1
2022,جلمة,,,0.0,,,0.0,0,Feuil1
2022,بن عون,,,0.0,,,5.0,5,Feuil1
2022,المزونة,,,72.0,,,40.0,112,Feuil1
2022,السبالة,,,0.0,,,0.0,0,Feuil1
2022,أولاد حفوز,,,120.0,,,100.0,220,Feuil1
2022,بئر الحفي,,,3.0,,,5.0,8,Feuil1
2022,منزل بوزيان,,70.0,50.0,70.0,,30.0,220,Feuil1
2022,السوق الجديد,,,50.0,,,20.0,70,Feuil1
2022,الجملة,0.0,70.0,1315.0,100.0,0.0,644.0,2129,Feuil1
