السنة,المعتمدية,طماطم,قرع_بوطزينة,بطيخ,فلفل,فقوس,دلاع,المجموع_طن,feuille
2021,بوزيد الغربية,0.0,0.0,2000,,0,4500,6500,Feuil1
2021,بوزيد الشرقية,0.0,0.0,400,,0,3150,3550,Feuil1
2021,المكناسي,0.0,0.0,2800,,0,4500,7300,Feuil1
2021,الرقاب,320.0,0.0,28000,,375,22500,51195,Feuil1
2021,السعيدة,,,4200,,225,4500,8925,Feuil1
2021,جلمة,0.0,0.0,3160,0.0,0,900,4060,Feuil1
2021,بن عون,0.0,0.0,0,0.0,0,0,0,Feuil1
2021,المزونة,0.0,0.0,1480,0.0,0,0,1480,Feuil1
2021,السبالة,0.0,0.0,200,0.0,0,0,200,Feuil1
2021,أولاد حفوز,0.0,0.0,6000,0.0,0,2150,8150,Feuil1
2021,بئر الحفي,0.0,0.0,6000,0.0,0,1440,7440,Feuil1
2021,منزل بوزيان,0.0,1350.0,4000,,1200,2250,8800,Feuil1
2021,السوق الجديد,0.0,0.0,2000,,0,900,2900,Feuil1
2021,الجملة,320.0,1350.0,60240,0.0,1800,46790,110500,Feuil1
2022,بوزيد الغربية,0.0,0.0,0,,0,0,0,Feuil1
2022,بوزيد الشرقية,0.0,0.0,0,,0,0,0,Feuil1
2022,المكناسي,0.0,0.0,800,,0,900,1700,Feuil1
2022,الرقاب,0.0,0.0,28000,,750,12600,41350,Feuil1
2022,السعيدة,,,12000,,0,6480,18480,Feuil1
2022,جلمة,0.0,0.0,0,0.0,0,0,0,Feuil1
2022,بن عون,0.0,0.0,0,0.0,0,225,225,Feuil1
2022,المزونة,0.0,0.0,2880,0.0,0,1800,4680,Feuil1
2022,السبالة,0.0,0.0,0,0.0,0,0,0,Feuil1
2022,أولاد حفوز,0.0,0.0,4800,0.0,0,4500,9300,Feuil1
2022,بئر الحفي,0.0,0.0,120,0.0,0,225,345,Feuil1
2022,منزل بوزيان,0.0,2100.0,2000,,1750,1350,7200,Feuil1
2022,السوق الجديد,0.0,0.0,2000,,0,900,2900,Feuil1
2022,الجملة,0.0,2100.0,52600,0.0,2500,28980,86180,Feuil1
