المعتمدية,زيتون_زيت,زيتون_طاولة,لوز,فستق,مشمش,خوخ,عوينة,تفاح,اجاص,تين,رمان,قوارص,عنب,المجموع,feuille
بوزيد الغربية,5500,200,765,36,1182,554,26,595,19,88,900,51,4,9920,Feuil1
بوزيد الشرقية,5400,40,1830,31,29,209,0,12,0,14,158,52,80,7855,Feuil1
المكناسي,9000,60,2556,49,12,975,3,0,0,0,0,1,250,12906,Feuil1
الرقاب,5000,70,5875,4,500,10450,660,2,0,120,395,6596,15300,44972,Feuil1
السعيدة,3300,0,2620,1,0,743,0,0,0,8,0,105,491,7268,Feuil1
جلمة,9500,70,1227,3,220,1085,40,980,64,20,980,79,105,14373,Feuil1
بن عون,6450,20,8033,102,72,830,380,0,40,68,8,5,300,16308,Feuil1
المزونة,2100,5,179,22,10,2330,4,0,0,0,499,33,605,5787,Feuil1
السبالة,4000,70,374,28,23,86,5,5,0,7,8,0,0,4606,Feuil1
أولاد حفوز,9500,45,1826,7,24,663,0,6,3,98,180,0,60,12412,Feuil1
بئر الحفي,5200,150,4300,26,106,798,75,40,17,9,88,21,0,10830,Feuil1
منزل بوزيان,3700,40,5163,315,184,1253,49,0,0,5,21,16,180,10926,Feuil1
السوق الجديد,2350,5,329,15,12,170,0,72,2,94,53,0,30,3132,Feuil1
الجملة,71000,775,35077,639,2374,20146,1242,1712,145,531,3290,6959,17405,161295,Feuil1
