السنة,المعتمدية,مساحة_الشعير_اخضرهك,انتاج_الشعير_الاخضر_طن,مساحة_الفصة_هك,انتاج_الفصة_طن,مساحة_القصيبة_سيلاجهك,انتاج_القصيبة_سيلاج_طن,مساحة_البرسم_المنجورهك,انتاج_البرسم_المنجورطن,مساحة_القصيبة_قرط_هك,انتاج_القصيبة_قرط_طن,المساحةهك,الانتاجطن,feuille
2021,بوزيد الغربية,400,6600,190,9100,90.0,1440.0,60.0,2350.0,1700,10200,2440,29690,Feuil1
2021,بوزيد الشرقية,10,180,40,1800,,,,,200,1000,250,2980,Feuil1
2021,المكناسي,0,0,1,42,,,,,0,0,1,42,Feuil1
2021,الرقاب,90,1200,65,2925,,,,,10,60,165,4185,Feuil1
2021,السعيدة,0,0,0,0,,,,,0,0,0,0,Feuil1
2021,جلمة,350,5400,110,4780,,,,,650,3250,1110,13430,Feuil1
2021,بن عون,0,0,5,210,,,,,10,50,15,260,Feuil1
2021,المزونة,0,0,0,0,,,,,0,0,0,0,Feuil1
2021,السبالة,50,720,47,2081,,,,,110,550,207,3351,Feuil1
2021,أولاد حفوز,5,54,47,1580,,,,,0,0,52,1634,Feuil1
2021,بئر الحفي,110,1600,35,1575,,,200.0,7050.0,320,1920,665,12145,Feuil1
2021,منزل بوزيان,30,320,5,225,,,,,0,0,35,545,Feuil1
2021,السوق الجديد,55,720,28,918,,,,,200,1200,283,2838,Feuil1
2021,الجملة,1100,16794,573,25236,90.0,1440.0,260.0,9400.0,3200,18230,5223,71100,Feuil1
2022,بوزيد الغربية,400,6600,190,9100,90.0,1440.0,60.0,2350.0,1700,10200,2440,29690,Feuil1
2022,بوزيد الشرقية,10,180,40,1800,,,,,200,1000,250,2980,Feuil1
2022,المكناسي,0,0,1,42,,,,,0,0,1,42,Feuil1
2022,الرقاب,90,1200,65,2925,,,,,10,60,165,4185,Feuil1
2022,السعيدة,0,0,0,0,,,,,0,0,0,0,Feuil1
2022,جلمة,350,5400,110,4780,,,,,650,3250,1110,13430,Feuil1
2022,بن عون,0,0,5,210,,,,,10,50,15,260,Feuil1
2022,المزونة,0,0,0,0,,,,,0,0,0,0,Feuil1
2022,السبالة,50,720,47,2081,,,,,110,550,207,3351,Feuil1
2022,أولاد حفوز,5,54,47,1580,,,,,0,0,52,1634,Feuil1
2022,بئر الحفي,110,1600,35,1575,,,200.0,7050.0,320,1920,665,12145,Feuil1
2022,منزل بوزيان,30,320,5,225,,,,,0,0,35,545,Feuil1
2022,السوق الجديد,55,720,28,918,,,,,200,1200,283,2838,Feuil1
2022,الجملة,1100,16794,573,25236,90.0,1440.0,260.0,9400.0,3200,18230,5223,71100,Feuil1
