المعتمدية,خلايا_الارشاد_الفلاحي,مراكزالاشعاع_الفلاحي,وحدات_خزن_وتكييف_المنتوج_العدد,وحدات_خزن_وتكييف_المنتوج_الطاقةطن,feuille
بوزيد الغربية,1,8.0,9.0,2680.0,Feuil1
بوزيد الشرقية,1,7.0,5.0,1590.0,Feuil1
المكناسي,1,3.0,,,Feuil1
الرقاب,1,5.0,4.0,1290.0,Feuil1
السعيدة,0,,1.0,100.0,Feuil1
جلمة,1,4.0,1.0,240.0,Feuil1
السبالة,1,3.0,,,Feuil1
أولاد حفوز,1,4.0,,,Feuil1
بئر الحفي,1,4.0,,,Feuil1
منزل بوزيان,1,4.0,2.0,150.0,Feuil1
بن عون,1,4.0,,,Feuil1
سوق الجديد,1,3.0,,,Feuil1
المزونة,1,4.0,,,Feuil1
الجملة,12,53.0,22.0,6050.0,Feuil1
