السنة,المعتمدية,بعلي_ام_سقوي,مساحة_القمح_الصلبهك,انتاج_القمح_الصلب_ق,مساحة_الشعيرهك,انتاج_الشعيرق,مجموع_المساحةهك,مجموع_الانتاجق,feuille
2021,بوزيد الغربية,بعلي,200,0,350,0,550,0,Feuil1
2021,بوزيد الغربية,سقوي,1250,56250,410,12250,1660,68500,Feuil1
2021,بوزيد الشرقية,بعلي,10,0,10,0,20,0,Feuil1
2021,بوزيد الشرقية,سقوي,120,4800,80,1500,200,6300,Feuil1
2021,المكناسي,بعلي,100,0,0,0,100,0,Feuil1
2021,المكناسي,سقوي,0,0,0,0,0,0,Feuil1
2021,الرقاب,بعلي,1400,0,80,0,1480,0,Feuil1
2021,الرقاب,سقوي,30,1200,30,900,60,2100,Feuil1
2021,السعيدة,بعلي,30,0,0,0,30,0,Feuil1
2021,السعيدة,سقوي,0,0,0,0,0,0,Feuil1
2021,جلمة,بعلي,50,0,700,0,750,0,Feuil1
2021,جلمة,سقوي,450,17100,300,8400,750,25500,Feuil1
2021,بن عون,بعلي,0,0,0,0,0,0,Feuil1
2021,بن عون,سقوي,0,0,0,0,0,0,Feuil1
2021,المزونة,بعلي,0,0,0,0,0,0,Feuil1
2021,المزونة,سقوي,0,0,0,0,0,0,Feuil1
2021,السبالة,بعلي,0,0,400,0,400,0,Feuil1
2021,السبالة,سقوي,50,2000,60,1680,110,3680,Feuil1
2021,أولاد حفوز,بعلي,0,0,40,0,40,0,Feuil1
2021,أولاد حفوز,سقوي,5,190,0,0,5,190,Feuil1
2021,بئر الحفي,بعلي,0,0,0,0,0,0,Feuil1
2021,بئر الحفي,سقوي,420,18900,70,2240,490,21140,Feuil1
2021,منزل بوزيان,بعلي,0,0,50,0,50,0,Feuil1
2021,منزل بوزيان,سقوي,250,8750,150,4200,400,12950,Feuil1
2021,السوق الجديد,بعلي,10,0,0,0,10,0,Feuil1
2021,السوق الجديد,سقوي,175,7350,80,2400,255,9750,Feuil1
2021,الجملة,بعلي,1800,0,1630,0,3430,0,Feuil1
2021,الجملة,سقوي,2750,116540,1180,33570,3930,150110,Feuil1
2022,بوزيد الغربية,بعلي,50,0,100,0,150,0,Feuil1
2022,بوزيد الغربية,سقوي,1100,52800,400,12000,1500,64800,Feuil1
2022,بوزيد الشرقية,بعلي,0,0,0,0,0,0,Feuil1
2022,بوزيد الشرقية,سقوي,65,2470,25,625,90,3095,Feuil1
2022,المكناسي,بعلي,0,0,0,0,0,0,Feuil1
2022,المكناسي,سقوي,0,0,0,0,0,0,Feuil1
2022,الرقاب,بعلي,50,0,80,0,130,0,Feuil1
2022,الرقاب,سقوي,30,1200,40,1120,70,2320,Feuil1
2022,السعيدة,بعلي,0,0,0,0,0,0,Feuil1
2022,السعيدة,سقوي,0,0,0,0,0,0,Feuil1
2022,جلمة,بعلي,400,0,250,0,650,0,Feuil1
2022,جلمة,سقوي,250,10500,250,6500,500,17000,Feuil1
2022,بن عون,بعلي,470,0,310,0,780,0,Feuil1
2022,بن عون,سقوي,0,36,0,0,0,36,Feuil1
2022,المزونة,بعلي,0,0,0,0,0,0,Feuil1
2022,المزونة,سقوي,5,180,20,520,25,700,Feuil1
2022,السبالة,بعلي,200,0,300,0,500,0,Feuil1
2022,السبالة,سقوي,20,800,50,1400,70,2200,Feuil1
2022,أولاد حفوز,بعلي,0,0,0,0,0,0,Feuil1
2022,أولاد حفوز,سقوي,10,380,0,0,10,380,Feuil1
2022,بئر الحفي,بعلي,200,0,100,0,300,0,Feuil1
2022,بئر الحفي,سقوي,430,20640,150,4500,580,25140,Feuil1
2022,منزل بوزيان,بعلي,350,0,250,0,600,0,Feuil1
2022,منزل بوزيان,سقوي,450,18000,350,9100,800,27100,Feuil1
2022,السوق الجديد,بعلي,25,0,25,0,50,0,Feuil1
2022,السوق الجديد,سقوي,145,6525,135,3780,280,10305,Feuil1
2022,الجملة,بعلي,1745,0,1415,0,3160,0,Feuil1
2022,الجملة,سقوي,2505,113531,1420,39545,3925,153076,Feuil1
