المعتمدية,بصل,بطاطا,طماطم,فلفل,دلاع,بطيخ,فقوس,قرع,سلق,معدنوس,جزر,قرع_احمر,بصل_ربعي,خص,سبناخ,لفت_سكري,كلافس,المجموع_طن,feuille
بوزيد الغربية,58900,3600,36000,18750,10000,4000,2500,476,375,360,400,1680,7500,100,50,15,375,145081,Feuil1
بوزيد الشرقية,11400,3000,4320,1250,2800,8800,250,168,225,180,800,0,10500,100,50,0,75,43918,Feuil1
المكناسي,0,0,144,250,0,800,0,0,0,0,0,0,0,0,0,0,0,1194,Feuil1
الرقاب,380,0,360,250,0,2000,50,84,75,48,0,0,0,0,0,0,0,3247,Feuil1
السعيدة,0,0,360,125,0,1000,50,0,0,0,0,0,0,0,0,0,0,1535,Feuil1
جلمة,1520,6000,18000,27500,14000,8000,500,280,30,24,0,8000,0,0,0,0,15,83869,Feuil1
بن عون,0,0,216,250,0,600,0,0,0,0,0,0,0,0,0,0,0,1066,Feuil1
المزونة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feuil1
السبالة,1748,600,10800,2875,1480,2800,75,0,15,24,0,0,0,0,0,0,0,20417,Feuil1
أولاد حفوز,0,3000,360,1250,2000,7200,125,0,15,12,0,0,0,0,0,0,0,13962,Feuil1
بئر الحفي,6940,4500,33840,8750,8000,11200,250,0,75,60,0,0,0,0,0,0,45,73560,Feuil1
منزل بوزيان,1900,800,0,3750,2800,1600,1250,280,75,60,0,0,1500,0,0,0,0,14115,Feuil1
السوق الجديد,3420,4800,2880,2500,1600,1640,225,112,90,60,0,0,4500,40,0,0,0,21867,Feuil1
الجملة,86108,26400,107280,67500,42680,49640,5275,1400,975,828,1200,9680,24000,240,100,15,510,423831,Feuil1
